Freq.	V(v4)/I(I1)
1.53815464030302e+001	(-8.96359091524604e+001dB,1.17066865105138e+002°)
1.54170045294954e+001	(-8.96117680205245e+001dB,1.17120546522588e+002°)
1.54525443953840e+001	(-8.95876112977683e+001dB,1.17174305814498e+002°)
1.54881661891247e+001	(-8.95634406527459e+001dB,1.17228121097740e+002°)
1.55238700995807e+001	(-8.95392529440510e+001dB,1.17282031784626e+002°)
1.55596563160506e+001	(-8.95150507239742e+001dB,1.17336004908548e+002°)
1.55955250282694e+001	(-8.94908339279288e+001dB,1.17390041014454e+002°)
1.56314764264094e+001	(-8.94666013247810e+001dB,1.17444154092297e+002°)
1.56675107010813e+001	(-8.94423524620590e+001dB,1.17498350133843e+002°)
1.57036280433354e+001	(-8.94180891891874e+001dB,1.17552604715213e+002°)
1.57398286446620e+001	(-8.93938099140510e+001dB,1.17606937364506e+002°)
1.57761126969933e+001	(-8.93695156787278e+001dB,1.17661334898920e+002°)
1.58124803927037e+001	(-8.93452052770385e+001dB,1.17715811043999e+002°)
1.58489319246110e+001	(-8.93208802009038e+001dB,1.17770347346155e+002°)
1.58854674859776e+001	(-8.92965381595510e+001dB,1.17824970857691e+002°)
1.59220872705115e+001	(-8.92721808290034e+001dB,1.17879660347082e+002°)
1.59587914723672e+001	(-8.92478086230537e+001dB,1.17934410982293e+002°)
1.59955802861465e+001	(-8.92234203334463e+001dB,1.17989236194558e+002°)
1.60324539069002e+001	(-8.91990156904717e+001dB,1.18044138878151e+002°)
1.60694125301286e+001	(-8.91745954899826e+001dB,1.18099108635720e+002°)
1.61064563517825e+001	(-8.91501598966131e+001dB,1.18154143143962e+002°)
1.61435855682647e+001	(-8.91257073043944e+001dB,1.18209260888164e+002°)
1.61808003764305e+001	(-8.91012395967925e+001dB,1.18264438456626e+002°)
1.62181009735891e+001	(-8.90767556604159e+001dB,1.18319689236884e+002°)
1.62554875575047e+001	(-8.90522553962253e+001dB,1.18375013229048e+002°)
1.62929603263970e+001	(-8.90277398438834e+001dB,1.18430397725354e+002°)
1.63305194789432e+001	(-8.90032072039584e+001dB,1.18485863488156e+002°)
1.63681652142779e+001	(-8.89786589302371e+001dB,1.18541392596958e+002°)
1.64058977319952e+001	(-8.89540951808235e+001dB,1.18596982685297e+002°)
1.64437172321491e+001	(-8.89295132880354e+001dB,1.18652664382843e+002°)
1.64816239152549e+001	(-8.89049162667031e+001dB,1.18708402250524e+002°)
1.65196179822900e+001	(-8.88803037863421e+001dB,1.18764198820931e+002°)
1.65576996346951e+001	(-8.88556732209630e+001dB,1.18820084507931e+002°)
1.65958690743754e+001	(-8.88310277646861e+001dB,1.18876021605901e+002°)
1.66341265037015e+001	(-8.88063641054273e+001dB,1.18932047697887e+002°)
1.66724721255104e+001	(-8.87816852398655e+001dB,1.18988127877236e+002°)
1.67109061431069e+001	(-8.87569897996449e+001dB,1.19044277097967e+002°)
1.67494287602642e+001	(-8.87322775031245e+001dB,1.19100497763110e+002°)
1.67880401812254e+001	(-8.87075485610520e+001dB,1.19156787528225e+002°)
1.68267406107045e+001	(-8.86828026651526e+001dB,1.19213148645345e+002°)
1.68655302538872e+001	(-8.86580404346665e+001dB,1.19269573790902e+002°)
1.69044093164324e+001	(-8.86332614064559e+001dB,1.19326067874506e+002°)
1.69433780044731e+001	(-8.86084659267551e+001dB,1.19382625831800e+002°)
1.69824365246172e+001	(-8.85836533272638e+001dB,1.19439254952324e+002°)
1.70215850839493e+001	(-8.85588235514584e+001dB,1.19495955058794e+002°)
1.70608238900310e+001	(-8.85339776595216e+001dB,1.19552714132516e+002°)
1.71001531509027e+001	(-8.85091138728415e+001dB,1.19609551189228e+002°)
1.71395730750841e+001	(-8.84842336231876e+001dB,1.19666449212770e+002°)
1.71790838715757e+001	(-8.84593364980379e+001dB,1.19723413085529e+002°)
1.72186857498599e+001	(-8.84344215653397e+001dB,1.19780451983041e+002°)
1.72583789199018e+001	(-8.84094913741860e+001dB,1.19837537469940e+002°)
1.72981635921508e+001	(-8.83845420066718e+001dB,1.19894711701360e+002°)
1.73380399775412e+001	(-8.83595764425090e+001dB,1.19951941604166e+002°)
1.73780082874935e+001	(-8.83345942300443e+001dB,1.20009231798882e+002°)
1.74180687339159e+001	(-8.83095929605804e+001dB,1.20066607556757e+002°)
1.74582215292048e+001	(-8.82845751771720e+001dB,1.20124040753684e+002°)
1.74984668862464e+001	(-8.82595412561387e+001dB,1.20181526577710e+002°)
1.75388050184174e+001	(-8.82344884434896e+001dB,1.20239094933707e+002°)
1.75792361395867e+001	(-8.82094192091522e+001dB,1.20296717726655e+002°)
1.76197604641161e+001	(-8.81843329011801e+001dB,1.20354401701743e+002°)
1.76603782068614e+001	(-8.81592275949949e+001dB,1.20412167104367e+002°)
1.77010895831740e+001	(-8.81341062400797e+001dB,1.20469981811097e+002°)
1.77418948089014e+001	(-8.81089662427817e+001dB,1.20527872642287e+002°)
1.77827941003890e+001	(-8.80838088771142e+001dB,1.20585825782923e+002°)
1.78237876744807e+001	(-8.80586338892104e+001dB,1.20643843093555e+002°)
1.78648757485203e+001	(-8.80334406315709e+001dB,1.20701930955219e+002°)
1.79060585403527e+001	(-8.80082307491531e+001dB,1.20760071085373e+002°)
1.79473362683250e+001	(-8.79830023609376e+001dB,1.20818283317900e+002°)
1.79887091512877e+001	(-8.79577566841200e+001dB,1.20876553842722e+002°)
1.80301774085955e+001	(-8.79324926619311e+001dB,1.20934893371885e+002°)
1.80717412601090e+001	(-8.79072104781707e+001dB,1.20993299213882e+002°)
1.81134009261958e+001	(-8.78819105764507e+001dB,1.21051766716726e+002°)
1.81551566277311e+001	(-8.78565930769867e+001dB,1.21110293008018e+002°)
1.81970085860996e+001	(-8.78312584326260e+001dB,1.21168873561574e+002°)
1.82389570231961e+001	(-8.78059039208377e+001dB,1.21227536118579e+002°)
1.82810021614272e+001	(-8.77805328481393e+001dB,1.21286245496198e+002°)
1.83231442237119e+001	(-8.77551429107982e+001dB,1.21345024982878e+002°)
1.83653834334832e+001	(-8.77297353799989e+001dB,1.21403861319530e+002°)
1.84077200146893e+001	(-8.77043083491812e+001dB,1.21462773116050e+002°)
1.84501541917945e+001	(-8.76788643108835e+001dB,1.21521734300238e+002°)
1.84926861897805e+001	(-8.76534015888149e+001dB,1.21580761359033e+002°)
1.85353162341479e+001	(-8.76279202136233e+001dB,1.21639853857280e+002°)
1.85780445509167e+001	(-8.76024209630388e+001dB,1.21699002636181e+002°)
1.86208713666284e+001	(-8.75769034234312e+001dB,1.21758211393312e+002°)
1.86637969083464e+001	(-8.75513674482299e+001dB,1.21817481912565e+002°)
1.87068214036578e+001	(-8.75258123607122e+001dB,1.21876819597497e+002°)
1.87499450806739e+001	(-8.75002394272520e+001dB,1.21936211512831e+002°)
1.87931681680324e+001	(-8.74746475971962e+001dB,1.21995667334436e+002°)
1.88364908948977e+001	(-8.74490369041800e+001dB,1.22055186537584e+002°)
1.88799134909627e+001	(-8.74234083451242e+001dB,1.22114758114792e+002°)
1.89234361864495e+001	(-8.73977613257047e+001dB,1.22174387701012e+002°)
1.89670592121112e+001	(-8.73720942468673e+001dB,1.22234091034174e+002°)
1.90107827992327e+001	(-8.73464091126983e+001dB,1.22293846886271e+002°)
1.90546071796322e+001	(-8.73207055657709e+001dB,1.22353658882555e+002°)
1.90985325856621e+001	(-8.72949831548644e+001dB,1.22413530178421e+002°)
1.91425592502106e+001	(-8.72692417538374e+001dB,1.22473462360923e+002°)
1.91866874067026e+001	(-8.72434811372182e+001dB,1.22533456557913e+002°)
1.92309172891013e+001	(-8.72177021259910e+001dB,1.22593504067676e+002°)
1.92752491319091e+001	(-8.71919035390660e+001dB,1.22653616182701e+002°)
1.93196831701690e+001	(-8.71660871826465e+001dB,1.22713774241487e+002°)
1.93642196394658e+001	(-8.71402506827950e+001dB,1.22774001347228e+002°)
1.94088587759275e+001	(-8.71143952672272e+001dB,1.22834284874653e+002°)
1.94536008162263e+001	(-8.70885219357212e+001dB,1.22894614227309e+002°)
1.94984459975802e+001	(-8.70626281252320e+001dB,1.22955014144675e+002°)
1.95433945577537e+001	(-8.70367150633095e+001dB,1.23015472076561e+002°)
1.95884467350596e+001	(-8.70107831476076e+001dB,1.23075983252669e+002°)
1.96336027683602e+001	(-8.69848318191130e+001dB,1.23136552748403e+002°)
1.96788628970682e+001	(-8.69588617210135e+001dB,1.23197174069252e+002°)
1.97242273611483e+001	(-8.69328722517996e+001dB,1.23257852041561e+002°)
1.97696964011183e+001	(-8.69068626592646e+001dB,1.23318593491166e+002°)
1.98152702580507e+001	(-8.68808347557972e+001dB,1.23379380421082e+002°)
1.98609491735734e+001	(-8.68547869906152e+001dB,1.23440227220831e+002°)
1.99067333898716e+001	(-8.68287199829865e+001dB,1.23501127304136e+002°)
1.99526231496885e+001	(-8.68026324023474e+001dB,1.23562093014640e+002°)
1.99986186963271e+001	(-8.67765264391914e+001dB,1.23623102748098e+002°)
2.00447202736513e+001	(-8.67504007386679e+001dB,1.23684168711115e+002°)
2.00909281260870e+001	(-8.67242551819077e+001dB,1.23745292008411e+002°)
2.01372424986236e+001	(-8.66980901464911e+001dB,1.23806467763414e+002°)
2.01836636368153e+001	(-8.66719056917589e+001dB,1.23867695159482e+002°)
2.02301917867824e+001	(-8.66457007185526e+001dB,1.23928984431196e+002°)
2.02768271952125e+001	(-8.66194769786328e+001dB,1.23990317890158e+002°)
2.03235701093619e+001	(-8.65932325978889e+001dB,1.24051713028256e+002°)
2.03704207770569e+001	(-8.65669689618987e+001dB,1.24113155992571e+002°)
2.04173794466950e+001	(-8.65406853547747e+001dB,1.24174653164624e+002°)
2.04644463672464e+001	(-8.65143818274372e+001dB,1.24236203557434e+002°)
2.05116217882553e+001	(-8.64880582266524e+001dB,1.24297807922763e+002°)
2.05589059598411e+001	(-8.64617153653853e+001dB,1.24359458048898e+002°)
2.06062991326997e+001	(-8.64353513787850e+001dB,1.24421170850028e+002°)
2.06538015581050e+001	(-8.64089680457361e+001dB,1.24482929177641e+002°)
2.07014134879101e+001	(-8.63825648473432e+001dB,1.24544737394234e+002°)
2.07491351745488e+001	(-8.63561408834043e+001dB,1.24606603289459e+002°)
2.07969668710366e+001	(-8.63296971441485e+001dB,1.24668516849984e+002°)
2.08449088309726e+001	(-8.63032339216640e+001dB,1.24730475506361e+002°)
2.08929613085401e+001	(-8.62767502760039e+001dB,1.24792486756679e+002°)
2.09411245585086e+001	(-8.62502457121689e+001dB,1.24854554760106e+002°)
2.09893988362349e+001	(-8.62237216241011e+001dB,1.24916666252675e+002°)
2.10377843976644e+001	(-8.61971771345774e+001dB,1.24978828862963e+002°)
2.10862814993326e+001	(-8.61706117258200e+001dB,1.25041046538625e+002°)
2.11348903983661e+001	(-8.61440264002646e+001dB,1.25103309501970e+002°)
2.11836113524847e+001	(-8.61174212476098e+001dB,1.25165616780829e+002°)
2.12324446200019e+001	(-8.60907951905494e+001dB,1.25227977399190e+002°)
2.12813904598268e+001	(-8.60641481017237e+001dB,1.25290391789274e+002°)
2.13304491314654e+001	(-8.60374810157523e+001dB,1.25352850422306e+002°)
2.13796208950220e+001	(-8.60107943408036e+001dB,1.25415348652064e+002°)
2.14289060112002e+001	(-8.59840864952488e+001dB,1.25477900574154e+002°)
2.14783047413050e+001	(-8.59573573674084e+001dB,1.25540506581213e+002°)
2.15278173472434e+001	(-8.59306079401531e+001dB,1.25603156978709e+002°)
2.15774440915263e+001	(-8.59038385081395e+001dB,1.25665849093727e+002°)
2.16271852372698e+001	(-8.58770483828377e+001dB,1.25728588246649e+002°)
2.16770410481966e+001	(-8.58502370943810e+001dB,1.25791378149581e+002°)
2.17270117886371e+001	(-8.58234056482212e+001dB,1.25854209340172e+002°)
2.17770977235312e+001	(-8.57965524611778e+001dB,1.25917095257472e+002°)
2.18272991184297e+001	(-8.57696798386237e+001dB,1.25980015128738e+002°)
2.18776162394952e+001	(-8.57427858107548e+001dB,1.26042985457647e+002°)
2.19280493535041e+001	(-8.57158710625487e+001dB,1.26106000301863e+002°)
2.19785987278479e+001	(-8.56889348962813e+001dB,1.26169064542574e+002°)
2.20292646305342e+001	(-8.56619781805644e+001dB,1.26232170668169e+002°)
2.20800473301886e+001	(-8.56350000548117e+001dB,1.26295325179982e+002°)
2.21309470960560e+001	(-8.56080013608761e+001dB,1.26358520475630e+002°)
2.21819641980018e+001	(-8.55809818246947e+001dB,1.26421758420823e+002°)
2.22330989065137e+001	(-8.55539413497996e+001dB,1.26485039228755e+002°)
2.22843514927027e+001	(-8.55268800384303e+001dB,1.26548361601786e+002°)
2.23357222283049e+001	(-8.54997970725424e+001dB,1.26611731960552e+002°)
2.23872113856830e+001	(-8.54726929186954e+001dB,1.26675145802495e+002°)
2.24388192378273e+001	(-8.54455682187103e+001dB,1.26738597115736e+002°)
2.24905460583574e+001	(-8.54184221765239e+001dB,1.26802092315377e+002°)
2.25423921215239e+001	(-8.53912545134896e+001dB,1.26865632954349e+002°)
2.25943577022094e+001	(-8.53640662673285e+001dB,1.26929210127269e+002°)
2.26464430759302e+001	(-8.53368571595465e+001dB,1.26992825428022e+002°)
2.26986485188378e+001	(-8.53096258262337e+001dB,1.27056489423034e+002°)
2.27509743077203e+001	(-8.52823733363744e+001dB,1.27120193367448e+002°)
