Freq.	V(vi)/((-1)*I(Vii))
1.51705036745932e+001	(1.26921214899498e+002dB,-8.94323681703731e+001°)
1.52054752973248e+001	(1.26901217966693e+002dB,-8.94357937039072e+001°)
1.52405275379728e+001	(1.26881220988885e+002dB,-8.94392162498672e+001°)
1.52756605823806e+001	(1.26861223966138e+002dB,-8.94426358263858e+001°)
1.53108746168202e+001	(1.26841226898516e+002dB,-8.94460524515540e+001°)
1.53461698279928e+001	(1.26821229786079e+002dB,-8.94494661434371e+001°)
1.53815464030302e+001	(1.26801232628890e+002dB,-8.94528769201082e+001°)
1.54170045294954e+001	(1.26781235427008e+002dB,-8.94562847995961e+001°)
1.54525443953840e+001	(1.26761238180492e+002dB,-8.94596897999356e+001°)
1.54881661891247e+001	(1.26741240889402e+002dB,-8.94630919391796e+001°)
1.55238700995807e+001	(1.26721243553793e+002dB,-8.94664912352837e+001°)
1.55596563160506e+001	(1.26701246173724e+002dB,-8.94698877062640e+001°)
1.55955250282694e+001	(1.26681248749248e+002dB,-8.94732813700580e+001°)
1.56314764264094e+001	(1.26661251280421e+002dB,-8.94766722446717e+001°)
1.56675107010813e+001	(1.26641253767296e+002dB,-8.94800603480104e+001°)
1.57036280433354e+001	(1.26621256209926e+002dB,-8.94834456980029e+001°)
1.57398286446620e+001	(1.26601258608362e+002dB,-8.94868283125727e+001°)
1.57761126969933e+001	(1.26581260962655e+002dB,-8.94902082096044e+001°)
1.58124803927037e+001	(1.26561263272855e+002dB,-8.94935854070156e+001°)
1.58489319246110e+001	(1.26541265539011e+002dB,-8.94969599226600e+001°)
1.58854674859776e+001	(1.26521267761171e+002dB,-8.95003317743664e+001°)
1.59220872705115e+001	(1.26501269939382e+002dB,-8.95037009800202e+001°)
1.59587914723672e+001	(1.26481272073690e+002dB,-8.95070675574236e+001°)
1.59955802861465e+001	(1.26461274164140e+002dB,-8.95104315244009e+001°)
1.60324539069002e+001	(1.26441276210776e+002dB,-8.95137928987509e+001°)
1.60694125301286e+001	(1.26421278213641e+002dB,-8.95171516982429e+001°)
1.61064563517825e+001	(1.26401280172779e+002dB,-8.95205079407137e+001°)
1.61435855682647e+001	(1.26381282088230e+002dB,-8.95238616438259e+001°)
1.61808003764305e+001	(1.26361283960035e+002dB,-8.95272128254145e+001°)
1.62181009735891e+001	(1.26341285788234e+002dB,-8.95305615031455e+001°)
1.62554875575047e+001	(1.26321287572864e+002dB,-8.95339076948127e+001°)
1.62929603263970e+001	(1.26301289313965e+002dB,-8.95372514180525e+001°)
1.63305194789432e+001	(1.26281291011572e+002dB,-8.95405926906107e+001°)
1.63681652142779e+001	(1.26261292665722e+002dB,-8.95439315301386e+001°)
1.64058977319952e+001	(1.26241294276450e+002dB,-8.95472679543240e+001°)
1.64437172321491e+001	(1.26221295843790e+002dB,-8.95506019807847e+001°)
1.64816239152549e+001	(1.26201297367774e+002dB,-8.95539336272235e+001°)
1.65196179822900e+001	(1.26181298848436e+002dB,-8.95572629112362e+001°)
1.65576996346951e+001	(1.26161300285805e+002dB,-8.95605898504605e+001°)
1.65958690743754e+001	(1.26141301679914e+002dB,-8.95639144625049e+001°)
1.66341265037015e+001	(1.26121303030791e+002dB,-8.95672367649196e+001°)
1.66724721255104e+001	(1.26101304338465e+002dB,-8.95705567753280e+001°)
1.67109061431069e+001	(1.26081305602963e+002dB,-8.95738745113057e+001°)
1.67494287602642e+001	(1.26061306824312e+002dB,-8.95771899903644e+001°)
1.67880401812254e+001	(1.26041308002538e+002dB,-8.95805032301134e+001°)
1.68267406107045e+001	(1.26021309137667e+002dB,-8.95838142480465e+001°)
1.68655302538872e+001	(1.26001310229721e+002dB,-8.95871230617059e+001°)
1.69044093164324e+001	(1.25981311278724e+002dB,-8.95904296885791e+001°)
1.69433780044731e+001	(1.25961312284698e+002dB,-8.95937341461721e+001°)
1.69824365246172e+001	(1.25941313247665e+002dB,-8.95970364520173e+001°)
1.70215850839493e+001	(1.25921314167644e+002dB,-8.96003366235251e+001°)
1.70608238900310e+001	(1.25901315044656e+002dB,-8.96036346781951e+001°)
1.71001531509027e+001	(1.25881315878718e+002dB,-8.96069306335072e+001°)
1.71395730750841e+001	(1.25861316669848e+002dB,-8.96102245068631e+001°)
1.71790838715757e+001	(1.25841317418063e+002dB,-8.96135163157042e+001°)
1.72186857498599e+001	(1.25821318123380e+002dB,-8.96168060774739e+001°)
1.72583789199018e+001	(1.25801318785811e+002dB,-8.96200938095619e+001°)
1.72981635921508e+001	(1.25781319405373e+002dB,-8.96233795293732e+001°)
1.73380399775412e+001	(1.25761319982077e+002dB,-8.96266632543000e+001°)
1.73780082874935e+001	(1.25741320515935e+002dB,-8.96299450017531e+001°)
1.74180687339159e+001	(1.25721321006960e+002dB,-8.96332247890412e+001°)
1.74582215292048e+001	(1.25701321455161e+002dB,-8.96365026335684e+001°)
1.74984668862464e+001	(1.25681321860548e+002dB,-8.96397785526675e+001°)
1.75388050184174e+001	(1.25661322223130e+002dB,-8.96430525636713e+001°)
1.75792361395867e+001	(1.25641322542913e+002dB,-8.96463246839205e+001°)
1.76197604641161e+001	(1.25621322819905e+002dB,-8.96495949307330e+001°)
1.76603782068614e+001	(1.25601323054112e+002dB,-8.96528633214112e+001°)
1.77010895831740e+001	(1.25581323245538e+002dB,-8.96561298732628e+001°)
1.77418948089014e+001	(1.25561323394187e+002dB,-8.96593946035691e+001°)
1.77827941003890e+001	(1.25541323500063e+002dB,-8.96626575296289e+001°)
1.78237876744807e+001	(1.25521323563167e+002dB,-8.96659186686662e+001°)
1.78648757485203e+001	(1.25501323583501e+002dB,-8.96691780379966e+001°)
1.79060585403527e+001	(1.25481323561065e+002dB,-8.96724356548351e+001°)
1.79473362683250e+001	(1.25461323495860e+002dB,-8.96756915364102e+001°)
1.79887091512877e+001	(1.25441323387882e+002dB,-8.96789457000234e+001°)
1.80301774085955e+001	(1.25421323237130e+002dB,-8.96821981628473e+001°)
1.80717412601090e+001	(1.25401323043601e+002dB,-8.96854489421077e+001°)
1.81134009261958e+001	(1.25381322807291e+002dB,-8.96886980549960e+001°)
1.81551566277311e+001	(1.25361322528193e+002dB,-8.96919455187370e+001°)
1.81970085860996e+001	(1.25341322206304e+002dB,-8.96951913505044e+001°)
1.82389570231961e+001	(1.25321321841614e+002dB,-8.96984355674687e+001°)
1.82810021614272e+001	(1.25301321434118e+002dB,-8.97016781868305e+001°)
1.83231442237119e+001	(1.25281320983805e+002dB,-8.97049192257221e+001°)
1.83653834334832e+001	(1.25261320490667e+002dB,-8.97081587013182e+001°)
1.84077200146893e+001	(1.25241319954693e+002dB,-8.97113966307658e+001°)
1.84501541917945e+001	(1.25221319375871e+002dB,-8.97146330312091e+001°)
1.84926861897805e+001	(1.25201318754189e+002dB,-8.97178679197459e+001°)
1.85353162341479e+001	(1.25181318089634e+002dB,-8.97211013135230e+001°)
1.85780445509167e+001	(1.25161317382192e+002dB,-8.97243332296695e+001°)
1.86208713666284e+001	(1.25141316631848e+002dB,-8.97275636852540e+001°)
1.86637969083464e+001	(1.25121315838585e+002dB,-8.97307926974128e+001°)
1.87068214036578e+001	(1.25101315002387e+002dB,-8.97340202832419e+001°)
1.87499450806739e+001	(1.25081314123236e+002dB,-8.97372464597738e+001°)
1.87931681680324e+001	(1.25061313201114e+002dB,-8.97404712441330e+001°)
1.88364908948977e+001	(1.25041312236000e+002dB,-8.97436946533785e+001°)
1.88799134909627e+001	(1.25021311227874e+002dB,-8.97469167045638e+001°)
1.89234361864495e+001	(1.25001310176715e+002dB,-8.97501374147447e+001°)
1.89670592121112e+001	(1.24981309082500e+002dB,-8.97533568009858e+001°)
1.90107827992327e+001	(1.24961307945207e+002dB,-8.97565748803046e+001°)
1.90546071796322e+001	(1.24941306764811e+002dB,-8.97597916697531e+001°)
1.90985325856621e+001	(1.24921305541286e+002dB,-8.97630071863368e+001°)
1.91425592502106e+001	(1.24901304274608e+002dB,-8.97662214471096e+001°)
1.91866874067026e+001	(1.24881302964748e+002dB,-8.97694344690631e+001°)
1.92309172891013e+001	(1.24861301611679e+002dB,-8.97726462692132e+001°)
1.92752491319091e+001	(1.24841300215373e+002dB,-8.97758568645497e+001°)
1.93196831701690e+001	(1.24821298775800e+002dB,-8.97790662720788e+001°)
1.93642196394658e+001	(1.24801297292929e+002dB,-8.97822745087758e+001°)
1.94088587759275e+001	(1.24781295766728e+002dB,-8.97854815916514e+001°)
1.94536008162263e+001	(1.24761294197166e+002dB,-8.97886875376539e+001°)
1.94984459975802e+001	(1.24741292584208e+002dB,-8.97918923637485e+001°)
1.95433945577537e+001	(1.24721290927821e+002dB,-8.97950960869296e+001°)
1.95884467350596e+001	(1.24701289227970e+002dB,-8.97982987241155e+001°)
1.96336027683602e+001	(1.24681287484618e+002dB,-8.98015002923016e+001°)
1.96788628970682e+001	(1.24661285697729e+002dB,-8.98047008084081e+001°)
1.97242273611483e+001	(1.24641283867263e+002dB,-8.98079002893925e+001°)
1.97696964011183e+001	(1.24621281993184e+002dB,-8.98110987521694e+001°)
1.98152702580507e+001	(1.24601280075450e+002dB,-8.98142962136911e+001°)
1.98609491735734e+001	(1.24581278114021e+002dB,-8.98174926908596e+001°)
1.99067333898716e+001	(1.24561276108856e+002dB,-8.98206882006278e+001°)
1.99526231496885e+001	(1.24541274059911e+002dB,-8.98238827598959e+001°)
1.99986186963271e+001	(1.24521271967144e+002dB,-8.98270763855576e+001°)
2.00447202736513e+001	(1.24501269830510e+002dB,-8.98302690945151e+001°)
2.00909281260870e+001	(1.24481267649963e+002dB,-8.98334609036953e+001°)
2.01372424986236e+001	(1.24461265425458e+002dB,-8.98366518300151e+001°)
2.01836636368153e+001	(1.24441263156946e+002dB,-8.98398418902815e+001°)
2.02301917867824e+001	(1.24421260844381e+002dB,-8.98430311014659e+001°)
2.02768271952125e+001	(1.24401258487712e+002dB,-8.98462194803783e+001°)
2.03235701093619e+001	(1.24381256086890e+002dB,-8.98494070439564e+001°)
2.03704207770569e+001	(1.24361253641864e+002dB,-8.98525938090627e+001°)
2.04173794466950e+001	(1.24341251152582e+002dB,-8.98557797925348e+001°)
2.04644463672464e+001	(1.24321248618991e+002dB,-8.98589650112671e+001°)
2.05116217882553e+001	(1.24301246041038e+002dB,-8.98621494820882e+001°)
2.05589059598411e+001	(1.24281243418667e+002dB,-8.98653332218859e+001°)
2.06062991326997e+001	(1.24261240751823e+002dB,-8.98685162474927e+001°)
2.06538015581050e+001	(1.24241238040449e+002dB,-8.98716985757723e+001°)
2.07014134879101e+001	(1.24221235284488e+002dB,-8.98748802235765e+001°)
2.07491351745488e+001	(1.24201232483882e+002dB,-8.98780612077173e+001°)
2.07969668710366e+001	(1.24181229638571e+002dB,-8.98812415450485e+001°)
2.08449088309726e+001	(1.24161226748494e+002dB,-8.98844212524017e+001°)
2.08929613085401e+001	(1.24141223813590e+002dB,-8.98876003466222e+001°)
2.09411245585086e+001	(1.24121220833797e+002dB,-8.98907788445109e+001°)
2.09893988362349e+001	(1.24101217809052e+002dB,-8.98939567629176e+001°)
2.10377843976644e+001	(1.24081214739291e+002dB,-8.98971341186652e+001°)
2.10862814993326e+001	(1.24061211624448e+002dB,-8.99003109285507e+001°)
2.11348903983661e+001	(1.24041208464457e+002dB,-8.99034872094062e+001°)
2.11836113524847e+001	(1.24021205259251e+002dB,-8.99066629780211e+001°)
2.12324446200019e+001	(1.24001202008763e+002dB,-8.99098382512321e+001°)
2.12813904598268e+001	(1.23981198712923e+002dB,-8.99130130458596e+001°)
2.13304491314654e+001	(1.23961195371662e+002dB,-8.99161873786562e+001°)
2.13796208950220e+001	(1.23941191984907e+002dB,-8.99193612664715e+001°)
2.14289060112002e+001	(1.23921188552589e+002dB,-8.99225347260866e+001°)
2.14783047413050e+001	(1.23901185074633e+002dB,-8.99257077742891e+001°)
2.15278173472434e+001	(1.23881181550966e+002dB,-8.99288804278985e+001°)
2.15774440915263e+001	(1.23861177981514e+002dB,-8.99320527036966e+001°)
2.16271852372698e+001	(1.23841174366200e+002dB,-8.99352246184582e+001°)
2.16770410481966e+001	(1.23821170704947e+002dB,-8.99383961890124e+001°)
2.17270117886371e+001	(1.23801166997679e+002dB,-8.99415674321205e+001°)
2.17770977235312e+001	(1.23781163244316e+002dB,-8.99447383645499e+001°)
2.18272991184297e+001	(1.23761159444780e+002dB,-8.99479090031329e+001°)
2.18776162394952e+001	(1.23741155598988e+002dB,-8.99510793646086e+001°)
2.19280493535041e+001	(1.23721151706860e+002dB,-8.99542494657713e+001°)
2.19785987278479e+001	(1.23701147768313e+002dB,-8.99574193234181e+001°)
2.20292646305342e+001	(1.23681143783263e+002dB,-8.99605889543098e+001°)
2.20800473301886e+001	(1.23661139751627e+002dB,-8.99637583752126e+001°)
2.21309470960560e+001	(1.23641135673318e+002dB,-8.99669276029228e+001°)
2.21819641980018e+001	(1.23621131548250e+002dB,-8.99700966542131e+001°)
2.22330989065137e+001	(1.23601127376335e+002dB,-8.99732655458269e+001°)
2.22843514927027e+001	(1.23581123157485e+002dB,-8.99764342945901e+001°)
2.23357222283049e+001	(1.23561118891611e+002dB,-8.99796029172357e+001°)
2.23872113856830e+001	(1.23541114578621e+002dB,-8.99827714305478e+001°)
2.24388192378273e+001	(1.23521110218425e+002dB,-8.99859398513021e+001°)
2.24905460583574e+001	(1.23501105810929e+002dB,-8.99891081962573e+001°)
2.25423921215239e+001	(1.23481101356042e+002dB,-8.99922764821751e+001°)
2.25943577022094e+001	(1.23461096853667e+002dB,-8.99954447258532e+001°)
2.26464430759302e+001	(1.23441092303709e+002dB,-8.99986129440202e+001°)
2.26986485188378e+001	(1.23421087706073e+002dB,-9.00017811534933e+001°)
