Freq.	V(v01)*V(v02)*V(v03)*V(v04)*V(v05)*V(v06)
1.01859138805412e+003	(-4.18553464143108e-001dB,-5.00114902113156e+000°)
1.01906057474925e+003	(-4.18552303178061e-001dB,-5.00347340764581e+000°)
1.01952997756260e+003	(-4.18551141123149e-001dB,-5.00579889369057e+000°)
1.01999959659372e+003	(-4.18549977977246e-001dB,-5.00812547981267e+000°)
1.02046943194220e+003	(-4.18548813739359e-001dB,-5.01045316655923e+000°)
1.02093948370768e+003	(-4.18547648408431e-001dB,-5.01278195447765e+000°)
1.02140975198985e+003	(-4.18546481983421e-001dB,-5.01511184411568e+000°)
1.02188023688844e+003	(-4.18545314463285e-001dB,-5.01744283602139e+000°)
1.02235093850323e+003	(-4.18544145846941e-001dB,-5.01977493074316e+000°)
1.02282185693405e+003	(-4.18542976133415e-001dB,-5.02210812882957e+000°)
1.02329299228076e+003	(-4.18541805321595e-001dB,-5.02444243082971e+000°)
1.02376434464328e+003	(-4.18540633410450e-001dB,-5.02677783729274e+000°)
1.02423591412157e+003	(-4.18539460398904e-001dB,-5.02911434876839e+000°)
1.02470770081565e+003	(-4.18538286285958e-001dB,-5.03145196580648e+000°)
1.02517970482556e+003	(-4.18537111070544e-001dB,-5.03379068895726e+000°)
1.02565192625141e+003	(-4.18535934751556e-001dB,-5.03613051877123e+000°)
1.02612436519334e+003	(-4.18534757327965e-001dB,-5.03847145579930e+000°)
1.02659702175155e+003	(-4.18533578798764e-001dB,-5.04081350059257e+000°)
1.02706989602628e+003	(-4.18532399162841e-001dB,-5.04315665370252e+000°)
1.02754298811781e+003	(-4.18531218419157e-001dB,-5.04550091568093e+000°)
1.02801629812647e+003	(-4.18530036566665e-001dB,-5.04784628707988e+000°)
1.02848982615265e+003	(-4.18528853604301e-001dB,-5.05019276845176e+000°)
1.02896357229675e+003	(-4.18527669530957e-001dB,-5.05254036034935e+000°)
1.02943753665927e+003	(-4.18526484345620e-001dB,-5.05488906332557e+000°)
1.02991171934070e+003	(-4.18525298047198e-001dB,-5.05723887793387e+000°)
1.03038612044162e+003	(-4.18524110634675e-001dB,-5.05958980472785e+000°)
1.03086074006263e+003	(-4.18522922106919e-001dB,-5.06194184426144e+000°)
1.03133557830439e+003	(-4.18521732462915e-001dB,-5.06429499708900e+000°)
1.03181063526759e+003	(-4.18520541701560e-001dB,-5.06664926376509e+000°)
1.03228591105300e+003	(-4.18519349821831e-001dB,-5.06900464484464e+000°)
1.03276140576140e+003	(-4.18518156822607e-001dB,-5.07136114088288e+000°)
1.03323711949363e+003	(-4.18516962702826e-001dB,-5.07371875243525e+000°)
1.03371305235059e+003	(-4.18515767461403e-001dB,-5.07607748005776e+000°)
1.03418920443319e+003	(-4.18514571097339e-001dB,-5.07843732430647e+000°)
1.03466557584244e+003	(-4.18513373609504e-001dB,-5.08079828573789e+000°)
1.03514216667934e+003	(-4.18512174996815e-001dB,-5.08316036490887e+000°)
1.03561897704499e+003	(-4.18510975258195e-001dB,-5.08552356237645e+000°)
1.03609600704049e+003	(-4.18509774392587e-001dB,-5.08788787869812e+000°)
1.03657325676701e+003	(-4.18508572398964e-001dB,-5.09025331443160e+000°)
1.03705072632576e+003	(-4.18507369276135e-001dB,-5.09261987013496e+000°)
1.03752841581801e+003	(-4.18506165023100e-001dB,-5.09498754636661e+000°)
1.03800632534507e+003	(-4.18504959638697e-001dB,-5.09735634368519e+000°)
1.03848445500828e+003	(-4.18503753121930e-001dB,-5.09972626264976e+000°)
1.03896280490904e+003	(-4.18502545471690e-001dB,-5.10209730381970e+000°)
1.03944137514880e+003	(-4.18501336686883e-001dB,-5.10446946775457e+000°)
1.03992016582906e+003	(-4.18500126766411e-001dB,-5.10684275501441e+000°)
1.04039917705135e+003	(-4.18498915709228e-001dB,-5.10921716615947e+000°)
1.04087840891727e+003	(-4.18497703514180e-001dB,-5.11159270175038e+000°)
1.04135786152844e+003	(-4.18496490180250e-001dB,-5.11396936234807e+000°)
1.04183753498654e+003	(-4.18495275706276e-001dB,-5.11634714851374e+000°)
1.04231742939331e+003	(-4.18494060091248e-001dB,-5.11872606080899e+000°)
1.04279754485051e+003	(-4.18492843334010e-001dB,-5.12110609979572e+000°)
1.04327788145997e+003	(-4.18491625433497e-001dB,-5.12348726603609e+000°)
1.04375843932355e+003	(-4.18490406388578e-001dB,-5.12586956009266e+000°)
1.04423921854318e+003	(-4.18489186198210e-001dB,-5.12825298252827e+000°)
1.04472021922080e+003	(-4.18487964861257e-001dB,-5.13063753390605e+000°)
1.04520144145844e+003	(-4.18486742376663e-001dB,-5.13302321478952e+000°)
1.04568288535814e+003	(-4.18485518743276e-001dB,-5.13541002574245e+000°)
1.04616455102201e+003	(-4.18484293960034e-001dB,-5.13779796732900e+000°)
1.04664643855220e+003	(-4.18483068025818e-001dB,-5.14018704011363e+000°)
1.04712854805090e+003	(-4.18481840939552e-001dB,-5.14257724466106e+000°)
1.04761087962036e+003	(-4.18480612700052e-001dB,-5.14496858153640e+000°)
1.04809343336288e+003	(-4.18479383306343e-001dB,-5.14736105130504e+000°)
1.04857620938077e+003	(-4.18478152757220e-001dB,-5.14975465453277e+000°)
1.04905920777645e+003	(-4.18476921051594e-001dB,-5.15214939178561e+000°)
1.04954242865232e+003	(-4.18475688188387e-001dB,-5.15454526362997e+000°)
1.05002587211089e+003	(-4.18474454166460e-001dB,-5.15694227063248e+000°)
1.05050953825466e+003	(-4.18473218984708e-001dB,-5.15934041336025e+000°)
1.05099342718622e+003	(-4.18471982642066e-001dB,-5.16173969238060e+000°)
1.05147753900818e+003	(-4.18470745137352e-001dB,-5.16414010826117e+000°)
1.05196187382322e+003	(-4.18469506469486e-001dB,-5.16654166157002e+000°)
1.05244643173406e+003	(-4.18468266637330e-001dB,-5.16894435287539e+000°)
1.05293121284344e+003	(-4.18467025639835e-001dB,-5.17134818274598e+000°)
1.05341621725419e+003	(-4.18465783475818e-001dB,-5.17375315175076e+000°)
1.05390144506916e+003	(-4.18464540144219e-001dB,-5.17615926045902e+000°)
1.05438689639126e+003	(-4.18463295643828e-001dB,-5.17856650944036e+000°)
1.05487257132344e+003	(-4.18462049973602e-001dB,-5.18097489926476e+000°)
1.05535846996870e+003	(-4.18460803132403e-001dB,-5.18338443050244e+000°)
1.05584459243008e+003	(-4.18459555119128e-001dB,-5.18579510372405e+000°)
1.05633093881069e+003	(-4.18458305932608e-001dB,-5.18820691950045e+000°)
1.05681750921366e+003	(-4.18457055571735e-001dB,-5.19061987840295e+000°)
1.05730430374219e+003	(-4.18455804035401e-001dB,-5.19303398100311e+000°)
1.05779132249950e+003	(-4.18454551322457e-001dB,-5.19544922787282e+000°)
1.05827856558890e+003	(-4.18453297431805e-001dB,-5.19786561958432e+000°)
1.05876603311370e+003	(-4.18452042362297e-001dB,-5.20028315671012e+000°)
1.05925372517729e+003	(-4.18450786112786e-001dB,-5.20270183982315e+000°)
1.05974164188310e+003	(-4.18449528682151e-001dB,-5.20512166949663e+000°)
1.06022978333460e+003	(-4.18448270069284e-001dB,-5.20754264630410e+000°)
1.06071814963532e+003	(-4.18447010273030e-001dB,-5.20996477081936e+000°)
1.06120674088882e+003	(-4.18445749292303e-001dB,-5.21238804361669e+000°)
1.06169555719873e+003	(-4.18444487125862e-001dB,-5.21481246527055e+000°)
1.06218459866871e+003	(-4.18443223772651e-001dB,-5.21723803635584e+000°)
1.06267386540247e+003	(-4.18441959231526e-001dB,-5.21966475744773e+000°)
1.06316335750378e+003	(-4.18440693501336e-001dB,-5.22209262912171e+000°)
1.06365307507644e+003	(-4.18439426580943e-001dB,-5.22452165195367e+000°)
1.06414301822432e+003	(-4.18438158469179e-001dB,-5.22695182651972e+000°)
1.06463318705131e+003	(-4.18436889164939e-001dB,-5.22938315339637e+000°)
1.06512358166138e+003	(-4.18435618667112e-001dB,-5.23181563316052e+000°)
1.06561420215852e+003	(-4.18434346974451e-001dB,-5.23424926638925e+000°)
1.06610504864678e+003	(-4.18433074085881e-001dB,-5.23668405366010e+000°)
1.06659612123026e+003	(-4.18431800000253e-001dB,-5.23911999555091e+000°)
1.06708742001310e+003	(-4.18430524716407e-001dB,-5.24155709263979e+000°)
1.06757894509950e+003	(-4.18429248233178e-001dB,-5.24399534550525e+000°)
1.06807069659369e+003	(-4.18427970549454e-001dB,-5.24643475472612e+000°)
1.06856267459996e+003	(-4.18426691664052e-001dB,-5.24887532088154e+000°)
1.06905487922266e+003	(-4.18425411575844e-001dB,-5.25131704455097e+000°)
1.06954731056616e+003	(-4.18424130283626e-001dB,-5.25375992631425e+000°)
1.07003996873490e+003	(-4.18422847786311e-001dB,-5.25620396675158e+000°)
1.07053285383337e+003	(-4.18421564082696e-001dB,-5.25864916644334e+000°)
1.07102596596607e+003	(-4.18420279171641e-001dB,-5.26109552597043e+000°)
1.07151930523761e+003	(-4.18418993051969e-001dB,-5.26354304591393e+000°)
1.07201287175260e+003	(-4.18417705722559e-001dB,-5.26599172685538e+000°)
1.07250666561571e+003	(-4.18416417182227e-001dB,-5.26844156937662e+000°)
1.07300068693166e+003	(-4.18415127429807e-001dB,-5.27089257405969e+000°)
1.07349493580524e+003	(-4.18413836464163e-001dB,-5.27334474148717e+000°)
1.07398941234125e+003	(-4.18412544284070e-001dB,-5.27579807224190e+000°)
1.07448411664456e+003	(-4.18411250888421e-001dB,-5.27825256690694e+000°)
1.07497904882009e+003	(-4.18409956276017e-001dB,-5.28070822606587e+000°)
1.07547420897279e+003	(-4.18408660445724e-001dB,-5.28316505030247e+000°)
1.07596959720769e+003	(-4.18407363396352e-001dB,-5.28562304020090e+000°)
1.07646521362984e+003	(-4.18406065126730e-001dB,-5.28808219634569e+000°)
1.07696105834435e+003	(-4.18404765635688e-001dB,-5.29054251932168e+000°)
1.07745713145637e+003	(-4.18403464922016e-001dB,-5.29300400971402e+000°)
1.07795343307111e+003	(-4.18402162984633e-001dB,-5.29546666810822e+000°)
1.07844996329383e+003	(-4.18400859822299e-001dB,-5.29793049509012e+000°)
1.07894672222983e+003	(-4.18399555433826e-001dB,-5.30039549124588e+000°)
1.07944370998446e+003	(-4.18398249818074e-001dB,-5.30286165716209e+000°)
1.07994092666311e+003	(-4.18396942973865e-001dB,-5.30532899342558e+000°)
1.08043837237123e+003	(-4.18395634900000e-001dB,-5.30779750062350e+000°)
1.08093604721433e+003	(-4.18394325595267e-001dB,-5.31026717934347e+000°)
1.08143395129794e+003	(-4.18393015058562e-001dB,-5.31273803017327e+000°)
1.08193208472766e+003	(-4.18391703288674e-001dB,-5.31521005370118e+000°)
1.08243044760913e+003	(-4.18390390284381e-001dB,-5.31768325051575e+000°)
1.08292904004805e+003	(-4.18389076044530e-001dB,-5.32015762120584e+000°)
1.08342786215014e+003	(-4.18387760567929e-001dB,-5.32263316636068e+000°)
1.08392691402121e+003	(-4.18386443853390e-001dB,-5.32510988656988e+000°)
1.08442619576708e+003	(-4.18385125899754e-001dB,-5.32758778242330e+000°)
1.08492570749364e+003	(-4.18383806705774e-001dB,-5.33006685451118e+000°)
1.08542544930683e+003	(-4.18382486270292e-001dB,-5.33254710342418e+000°)
1.08592542131263e+003	(-4.18381164592100e-001dB,-5.33502852975324e+000°)
1.08642562361707e+003	(-4.18379841670028e-001dB,-5.33751113408954e+000°)
1.08692605632623e+003	(-4.18378517502880e-001dB,-5.33999491702480e+000°)
1.08742671954625e+003	(-4.18377192089409e-001dB,-5.34247987915087e+000°)
1.08792761338329e+003	(-4.18375865428501e-001dB,-5.34496602106014e+000°)
1.08842873794360e+003	(-4.18374537518867e-001dB,-5.34745334334519e+000°)
1.08893009333344e+003	(-4.18373208359411e-001dB,-5.34994184659903e+000°)
1.08943167965914e+003	(-4.18371877948814e-001dB,-5.35243153141503e+000°)
1.08993349702707e+003	(-4.18370546285979e-001dB,-5.35492239838677e+000°)
1.09043554554366e+003	(-4.18369213369651e-001dB,-5.35741444810830e+000°)
1.09093782531539e+003	(-4.18367879198637e-001dB,-5.35990768117401e+000°)
1.09144033644876e+003	(-4.18366543771748e-001dB,-5.36240209817858e+000°)
1.09194307905036e+003	(-4.18365207087699e-001dB,-5.36489769971698e+000°)
1.09244605322680e+003	(-4.18363869145372e-001dB,-5.36739448638473e+000°)
1.09294925908475e+003	(-4.18362529943543e-001dB,-5.36989245877746e+000°)
1.09345269673092e+003	(-4.18361189480981e-001dB,-5.37239161749129e+000°)
1.09395636627210e+003	(-4.18359847756480e-001dB,-5.37489196312263e+000°)
1.09446026781508e+003	(-4.18358504768832e-001dB,-5.37739349626822e+000°)
1.09496440146675e+003	(-4.18357160516813e-001dB,-5.37989621752524e+000°)
1.09546876733400e+003	(-4.18355814999221e-001dB,-5.38240012749110e+000°)
1.09597336552381e+003	(-4.18354468214854e-001dB,-5.38490522676360e+000°)
1.09647819614319e+003	(-4.18353120162420e-001dB,-5.38741151594091e+000°)
1.09698325929920e+003	(-4.18351770840748e-001dB,-5.38991899562156e+000°)
1.09748855509895e+003	(-4.18350420248684e-001dB,-5.39242766640430e+000°)
1.09799408364961e+003	(-4.18349068384913e-001dB,-5.39493752888841e+000°)
1.09849984505838e+003	(-4.18347715248246e-001dB,-5.39744858367339e+000°)
1.09900583943252e+003	(-4.18346360837479e-001dB,-5.39996083135910e+000°)
1.09951206687935e+003	(-4.18345005151343e-001dB,-5.40247427254586e+000°)
1.10001852750622e+003	(-4.18343648188635e-001dB,-5.40498890783416e+000°)
1.10052522142055e+003	(-4.18342289948158e-001dB,-5.40750473782500e+000°)
1.10103214872978e+003	(-4.18340930428624e-001dB,-5.41002176311959e+000°)
1.10153930954142e+003	(-4.18339569628851e-001dB,-5.41253998431961e+000°)
1.10204670396303e+003	(-4.18338207547567e-001dB,-5.41505940202706e+000°)
1.10255433210223e+003	(-4.18336844183580e-001dB,-5.41758001684417e+000°)
1.10306219406665e+003	(-4.18335479535623e-001dB,-5.42010182937372e+000°)
1.10357028996402e+003	(-4.18334113602521e-001dB,-5.42262484021869e+000°)
1.10407861990208e+003	(-4.18332746382959e-001dB,-5.42514904998245e+000°)
1.10458718398863e+003	(-4.18331377875727e-001dB,-5.42767445926873e+000°)
1.10509598233154e+003	(-4.18330008079639e-001dB,-5.43020106868163e+000°)
1.10560501503871e+003	(-4.18328636993390e-001dB,-5.43272887882554e+000°)
1.10611428221808e+003	(-4.18327264615740e-001dB,-5.43525789030527e+000°)
1.10662378397767e+003	(-4.18325890945513e-001dB,-5.43778810372597e+000°)
1.10713352042552e+003	(-4.18324515981365e-001dB,-5.44031951969309e+000°)
1.10764349166975e+003	(-4.18323139722169e-001dB,-5.44285213881250e+000°)
1.10815369781849e+003	(-4.18321762166601e-001dB,-5.44538596169030e+000°)
1.10866413897996e+003	(-4.18320383313359e-001dB,-5.44792098893313e+000°)
1.10917481526241e+003	(-4.18319003161339e-001dB,-5.45045722114789e+000°)
1.10968572677413e+003	(-4.18317621709210e-001dB,-5.45299465894177e+000°)
1.11019687362348e+003	(-4.18316238955735e-001dB,-5.45553330292237e+000°)
1.11070825591887e+003	(-4.18314854899666e-001dB,-5.45807315369765e+000°)
1.11121987376874e+003	(-4.18313469539696e-001dB,-5.46061421187592e+000°)
1.11173172728160e+003	(-4.18312082874640e-001dB,-5.46315647806591e+000°)
1.11224381656599e+003	(-4.18310694903222e-001dB,-5.46569995287653e+000°)
1.11275614173052e+003	(-4.18309305624165e-001dB,-5.46824463691724e+000°)
1.11326870288385e+003	(-4.18307915036241e-001dB,-5.47079053079772e+000°)
1.11378150013467e+003	(-4.18306523138161e-001dB,-5.47333763512806e+000°)
1.11429453359173e+003	(-4.18305129928700e-001dB,-5.47588595051868e+000°)
1.11480780336385e+003	(-4.18303735406542e-001dB,-5.47843547758039e+000°)
1.11532130955986e+003	(-4.18302339570501e-001dB,-5.48098621692437e+000°)
1.11583505228867e+003	(-4.18300942419211e-001dB,-5.48353816916209e+000°)
1.11634903165924e+003	(-4.18299543951518e-001dB,-5.48609133490540e+000°)
1.11686324778057e+003	(-4.18298144166060e-001dB,-5.48864571476657e+000°)
1.11737770076170e+003	(-4.18296743061607e-001dB,-5.49120130935813e+000°)
1.11789239071175e+003	(-4.18295340636922e-001dB,-5.49375811929303e+000°)
1.11840731773986e+003	(-4.18293936890696e-001dB,-5.49631614518456e+000°)
1.11892248195525e+003	(-4.18292531821628e-001dB,-5.49887538764645e+000°)
1.11943788346716e+003	(-4.18291125428519e-001dB,-5.50143584729254e+000°)
1.11995352238489e+003	(-4.18289717710006e-001dB,-5.50399752473734e+000°)
1.12046939881781e+003	(-4.18288308664915e-001dB,-5.50656042059550e+000°)
1.12098551287532e+003	(-4.18286898291887e-001dB,-5.50912453548220e+000°)
1.12150186466687e+003	(-4.18285486589668e-001dB,-5.51168987001277e+000°)
1.12201845430197e+003	(-4.18284073556993e-001dB,-5.51425642480305e+000°)
1.12253528189017e+003	(-4.18282659192548e-001dB,-5.51682420046927e+000°)
1.12305234754109e+003	(-4.18281243495101e-001dB,-5.51939319762785e+000°)
1.12356965136437e+003	(-4.18279826463308e-001dB,-5.52196341689576e+000°)
1.12408719346973e+003	(-4.18278408095925e-001dB,-5.52453485889020e+000°)
1.12460497396693e+003	(-4.18276988391652e-001dB,-5.52710752422879e+000°)
1.12512299296577e+003	(-4.18275567349252e-001dB,-5.52968141352952e+000°)
1.12564125057611e+003	(-4.18274144967345e-001dB,-5.53225652741072e+000°)
1.12615974690787e+003	(-4.18272721244676e-001dB,-5.53483286649101e+000°)
1.12667848207100e+003	(-4.18271296179982e-001dB,-5.53741043138954e+000°)
1.12719745617552e+003	(-4.18269869771931e-001dB,-5.53998922272565e+000°)
1.12771666933148e+003	(-4.18268442019256e-001dB,-5.54256924111915e+000°)
1.12823612164900e+003	(-4.18267012920670e-001dB,-5.54515048719025e+000°)
1.12875581323824e+003	(-4.18265582474867e-001dB,-5.54773296155932e+000°)
1.12927574420942e+003	(-4.18264150680487e-001dB,-5.55031666484733e+000°)
1.12979591467280e+003	(-4.18262717536322e-001dB,-5.55290159767548e+000°)
1.13031632473870e+003	(-4.18261283041038e-001dB,-5.55548776066539e+000°)
1.13083697451748e+003	(-4.18259847193325e-001dB,-5.55807515443898e+000°)
1.13135786411957e+003	(-4.18258409991896e-001dB,-5.56066377961861e+000°)
1.13187899365542e+003	(-4.18256971435438e-001dB,-5.56325363682694e+000°)
1.13240036323556e+003	(-4.18255531522617e-001dB,-5.56584472668707e+000°)
1.13292197297056e+003	(-4.18254090252146e-001dB,-5.56843704982238e+000°)
1.13344382297104e+003	(-4.18252647622732e-001dB,-5.57103060685671e+000°)
1.13396591334767e+003	(-4.18251203633073e-001dB,-5.57362539841415e+000°)
1.13448824421117e+003	(-4.18249758281802e-001dB,-5.57622142511929e+000°)
1.13501081567232e+003	(-4.18248311567689e-001dB,-5.57881868759691e+000°)
1.13553362784194e+003	(-4.18246863489361e-001dB,-5.58141718647242e+000°)
1.13605668083091e+003	(-4.18245414045482e-001dB,-5.58401692237129e+000°)
1.13657997475016e+003	(-4.18243963234795e-001dB,-5.58661789591961e+000°)
1.13710350971066e+003	(-4.18242511055969e-001dB,-5.58922010774367e+000°)
1.13762728582344e+003	(-4.18241057507658e-001dB,-5.59182355847023e+000°)
1.13815130319958e+003	(-4.18239602588590e-001dB,-5.59442824872637e+000°)
1.13867556195022e+003	(-4.18238146297378e-001dB,-5.59703417913959e+000°)
1.13920006218653e+003	(-4.18236688632736e-001dB,-5.59964135033767e+000°)
1.13972480401975e+003	(-4.18235229593368e-001dB,-5.60224976294881e+000°)
1.14024978756117e+003	(-4.18233769177868e-001dB,-5.60485941760165e+000°)
1.14077501292213e+003	(-4.18232307385017e-001dB,-5.60747031492502e+000°)
1.14130048021400e+003	(-4.18230844213373e-001dB,-5.61008245554831e+000°)
1.14182618954823e+003	(-4.18229379661667e-001dB,-5.61269584010119e+000°)
1.14235214103631e+003	(-4.18227913728581e-001dB,-5.61531046921367e+000°)
1.14287833478978e+003	(-4.18226446412752e-001dB,-5.61792634351620e+000°)
1.14340477092023e+003	(-4.18224977712853e-001dB,-5.62054346363957e+000°)
1.14393144953931e+003	(-4.18223507627550e-001dB,-5.62316183021495e+000°)
1.14445837075872e+003	(-4.18222036155496e-001dB,-5.62578144387387e+000°)
1.14498553469019e+003	(-4.18220563295439e-001dB,-5.62840230524823e+000°)
1.14551294144554e+003	(-4.18219089045890e-001dB,-5.63102441497032e+000°)
1.14604059113661e+003	(-4.18217613405618e-001dB,-5.63364777367275e+000°)
1.14656848387530e+003	(-4.18216136373249e-001dB,-5.63627238198863e+000°)
1.14709661977356e+003	(-4.18214657947435e-001dB,-5.63889824055128e+000°)
1.14762499894341e+003	(-4.18213178126852e-001dB,-5.64152534999449e+000°)
1.14815362149689e+003	(-4.18211696910129e-001dB,-5.64415371095248e+000°)
1.14868248754612e+003	(-4.18210214295927e-001dB,-5.64678332405967e+000°)
1.14921159720325e+003	(-4.18208730282907e-001dB,-5.64941418995099e+000°)
1.14974095058049e+003	(-4.18207244869707e-001dB,-5.65204630926169e+000°)
1.15027054779012e+003	(-4.18205758054987e-001dB,-5.65467968262745e+000°)
1.15080038894444e+003	(-4.18204269837384e-001dB,-5.65731431068430e+000°)
1.15133047415582e+003	(-4.18202780215528e-001dB,-5.65995019406861e+000°)
1.15186080353668e+003	(-4.18201289188111e-001dB,-5.66258733341714e+000°)
1.15239137719949e+003	(-4.18199796753735e-001dB,-5.66522572936705e+000°)
1.15292219525677e+003	(-4.18198302911072e-001dB,-5.66786538255586e+000°)
1.15345325782110e+003	(-4.18196807658732e-001dB,-5.67050629362145e+000°)
1.15398456500509e+003	(-4.18195310995386e-001dB,-5.67314846320214e+000°)
1.15451611692144e+003	(-4.18193812919648e-001dB,-5.67579189193654e+000°)
1.15504791368286e+003	(-4.18192313430141e-001dB,-5.67843658046372e+000°)
1.15557995540214e+003	(-4.18190812525536e-001dB,-5.68108252942309e+000°)
1.15611224219211e+003	(-4.18189310204466e-001dB,-5.68372973945437e+000°)
1.15664477416565e+003	(-4.18187806465536e-001dB,-5.68637821119779e+000°)
1.15717755143571e+003	(-4.18186301307383e-001dB,-5.68902794529395e+000°)
1.15771057411528e+003	(-4.18184794728624e-001dB,-5.69167894238364e+000°)
1.15824384231739e+003	(-4.18183286727963e-001dB,-5.69433120310826e+000°)
1.15877735615513e+003	(-4.18181777303943e-001dB,-5.69698472810942e+000°)
1.15931111574166e+003	(-4.18180266455188e-001dB,-5.69963951802928e+000°)
1.15984512119017e+003	(-4.18178754180389e-001dB,-5.70229557351023e+000°)
1.16037937261391e+003	(-4.18177240478135e-001dB,-5.70495289519505e+000°)
1.16091387012619e+003	(-4.18175725347015e-001dB,-5.70761148372699e+000°)
1.16144861384035e+003	(-4.18174208785701e-001dB,-5.71027133974965e+000°)
1.16198360386980e+003	(-4.18172690792762e-001dB,-5.71293246390699e+000°)
1.16251884032801e+003	(-4.18171171366860e-001dB,-5.71559485684334e+000°)
1.16305432332847e+003	(-4.18169650506602e-001dB,-5.71825851920343e+000°)
1.16359005298477e+003	(-4.18168128210523e-001dB,-5.72092345163238e+000°)
1.16412602941050e+003	(-4.18166604477373e-001dB,-5.72358965477573e+000°)
1.16466225271934e+003	(-4.18165079305668e-001dB,-5.72625712927929e+000°)
1.16519872302501e+003	(-4.18163552694071e-001dB,-5.72892587578934e+000°)
1.16573544044128e+003	(-4.18162024641154e-001dB,-5.73159589495253e+000°)
1.16627240508197e+003	(-4.18160495145534e-001dB,-5.73426718741594e+000°)
1.16680961706097e+003	(-4.18158964205801e-001dB,-5.73693975382692e+000°)
1.16734707649220e+003	(-4.18157431820581e-001dB,-5.73961359483328e+000°)
1.16788478348964e+003	(-4.18155897988519e-001dB,-5.74228871108319e+000°)
1.16842273816734e+003	(-4.18154362708125e-001dB,-5.74496510322525e+000°)
1.16896094063937e+003	(-4.18152825978047e-001dB,-5.74764277190843e+000°)
1.16949939101988e+003	(-4.18151287796907e-001dB,-5.75032171778200e+000°)
1.17003808942305e+003	(-4.18149748163255e-001dB,-5.75300194149574e+000°)
1.17057703596314e+003	(-4.18148207075743e-001dB,-5.75568344369975e+000°)
1.17111623075445e+003	(-4.18146664532865e-001dB,-5.75836622504452e+000°)
1.17165567391131e+003	(-4.18145120533315e-001dB,-5.76105028618094e+000°)
1.17219536554814e+003	(-4.18143575075698e-001dB,-5.76373562776029e+000°)
1.17273530577939e+003	(-4.18142028158501e-001dB,-5.76642225043421e+000°)
