Freq.	V(n004)/I(R1)
1.15080038894443e+001	(3.34431266991440e+001dB,-1.79171093864618e+002°)
1.15345325782109e+001	(3.34431308929258e+001dB,-1.79169183305743e+002°)
1.15611224219210e+001	(3.34431351054360e+001dB,-1.79167268344487e+002°)
1.15877735615512e+001	(3.34431393374918e+001dB,-1.79165348970643e+002°)
1.16144861384034e+001	(3.34431435894571e+001dB,-1.79163425174026e+002°)
1.16412602941049e+001	(3.34431478603353e+001dB,-1.79161496944559e+002°)
1.16680961706096e+001	(3.34431521513957e+001dB,-1.79159564271922e+002°)
1.16949939101987e+001	(3.34431564625475e+001dB,-1.79157627145902e+002°)
1.17219536554813e+001	(3.34431607927929e+001dB,-1.79155685556354e+002°)
1.17489755493953e+001	(3.34431651438533e+001dB,-1.79153739492841e+002°)
1.17760597352080e+001	(3.34431695142769e+001dB,-1.79151788945216e+002°)
1.18032063565173e+001	(3.34431739048775e+001dB,-1.79149833903083e+002°)
1.18304155572516e+001	(3.34431783164689e+001dB,-1.79147874356025e+002°)
1.18576874816716e+001	(3.34431827475978e+001dB,-1.79145910293823e+002°)
1.18850222743701e+001	(3.34431871999834e+001dB,-1.79143941705922e+002°)
1.19124200802737e+001	(3.34431916721719e+001dB,-1.79141968582056e+002°)
1.19398810446427e+001	(3.34431961654281e+001dB,-1.79139990911667e+002°)
1.19674053130724e+001	(3.34432006796572e+001dB,-1.79138008684307e+002°)
1.19949930314937e+001	(3.34432052143102e+001dB,-1.79136021889548e+002°)
1.20226443461741e+001	(3.34432097697445e+001dB,-1.79134030516852e+002°)
1.20503594037179e+001	(3.34432143467701e+001dB,-1.79132034555607e+002°)
1.20781383510678e+001	(3.34432189443837e+001dB,-1.79130033995361e+002°)
1.21059813355048e+001	(3.34432235633944e+001dB,-1.79128028825455e+002°)
1.21338885046497e+001	(3.34432282032513e+001dB,-1.79126019035342e+002°)
1.21618600064636e+001	(3.34432328652158e+001dB,-1.79124004614271e+002°)
1.21898959892486e+001	(3.34432375482829e+001dB,-1.79121985551690e+002°)
1.22179966016487e+001	(3.34432422537132e+001dB,-1.79119961836799e+002°)
1.22461619926504e+001	(3.34432469800473e+001dB,-1.79117933459046e+002°)
1.22743923115840e+001	(3.34432517285450e+001dB,-1.79115900407579e+002°)
1.23026877081238e+001	(3.34432564986525e+001dB,-1.79113862671706e+002°)
1.23310483322890e+001	(3.34432612911753e+001dB,-1.79111820240572e+002°)
1.23594743344450e+001	(3.34432661055589e+001dB,-1.79109773103437e+002°)
1.23879658653036e+001	(3.34432709421546e+001dB,-1.79107721249441e+002°)
1.24165230759240e+001	(3.34432758008600e+001dB,-1.79105664667748e+002°)
1.24451461177138e+001	(3.34432806824789e+001dB,-1.79103603347404e+002°)
1.24738351424294e+001	(3.34432855864546e+001dB,-1.79101537277568e+002°)
1.25025903021771e+001	(3.34432905131366e+001dB,-1.79099466447283e+002°)
1.25314117494141e+001	(3.34432954619675e+001dB,-1.79097390845660e+002°)
1.25602996369487e+001	(3.34433004342022e+001dB,-1.79095310461596e+002°)
1.25892541179416e+001	(3.34433054292823e+001dB,-1.79093225284153e+002°)
1.26182753459066e+001	(3.34433104475554e+001dB,-1.79091135302271e+002°)
1.26473634747114e+001	(3.34433154889153e+001dB,-1.79089040504914e+002°)
1.26765186585784e+001	(3.34433205528021e+001dB,-1.79086940881069e+002°)
1.27057410520853e+001	(3.34433256409216e+001dB,-1.79084836419458e+002°)
1.27350308101665e+001	(3.34433307527128e+001dB,-1.79082727109016e+002°)
1.27643880881134e+001	(3.34433358876145e+001dB,-1.79080612938653e+002°)
1.27938130415752e+001	(3.34433410459711e+001dB,-1.79078493897159e+002°)
1.28233058265601e+001	(3.34433462285801e+001dB,-1.79076369973248e+002°)
1.28528665994361e+001	(3.34433514348786e+001dB,-1.79074241155755e+002°)
1.28824955169313e+001	(3.34433566652097e+001dB,-1.79072107433392e+002°)
1.29121927361353e+001	(3.34433619199158e+001dB,-1.79069968794844e+002°)
1.29419584144998e+001	(3.34433671984328e+001dB,-1.79067825228869e+002°)
1.29717927098395e+001	(3.34433725020085e+001dB,-1.79065676724004e+002°)
1.30016957803328e+001	(3.34433778296243e+001dB,-1.79063523269003e+002°)
1.30316677845229e+001	(3.34433831820740e+001dB,-1.79061364852400e+002°)
1.30617088813183e+001	(3.34433885587911e+001dB,-1.79059201462850e+002°)
1.30918192299940e+001	(3.34433939601151e+001dB,-1.79057033088882e+002°)
1.31219989901920e+001	(3.34433993868383e+001dB,-1.79054859718952e+002°)
1.31522483219223e+001	(3.34434048383926e+001dB,-1.79052681341635e+002°)
1.31825673855640e+001	(3.34434103151159e+001dB,-1.79050497945383e+002°)
1.32129563418657e+001	(3.34434158177988e+001dB,-1.79048309518571e+002°)
1.32434153519466e+001	(3.34434213449653e+001dB,-1.79046116049796e+002°)
1.32739445772973e+001	(3.34434268978581e+001dB,-1.79043917527332e+002°)
1.33045441797808e+001	(3.34434324763597e+001dB,-1.79041713939573e+002°)
1.33352143216332e+001	(3.34434380812588e+001dB,-1.79039505274789e+002°)
1.33659551654643e+001	(3.34434437115301e+001dB,-1.79037291521420e+002°)
1.33967668742593e+001	(3.34434493675080e+001dB,-1.79035072667735e+002°)
1.34276496113785e+001	(3.34434550499792e+001dB,-1.79032848701920e+002°)
1.34586035405594e+001	(3.34434607583702e+001dB,-1.79030619612288e+002°)
1.34896288259164e+001	(3.34434664930137e+001dB,-1.79028385387025e+002°)
1.35207256319427e+001	(3.34434722546948e+001dB,-1.79026146014238e+002°)
1.35518941235103e+001	(3.34434780423852e+001dB,-1.79023901482210e+002°)
1.35831344658714e+001	(3.34434838573221e+001dB,-1.79021651778943e+002°)
1.36144468246594e+001	(3.34434896984761e+001dB,-1.79019396892666e+002°)
1.36458313658891e+001	(3.34434955670834e+001dB,-1.79017136811328e+002°)
1.36772882559584e+001	(3.34435014625667e+001dB,-1.79014871523052e+002°)
1.37088176616484e+001	(3.34435073852544e+001dB,-1.79012601015834e+002°)
1.37404197501251e+001	(3.34435133354747e+001dB,-1.79010325277641e+002°)
1.37720946889394e+001	(3.34435193131016e+001dB,-1.79008044296464e+002°)
1.38038426460287e+001	(3.34435253180088e+001dB,-1.79005758060269e+002°)
1.38356637897177e+001	(3.34435313505224e+001dB,-1.79003466556939e+002°)
1.38675582887188e+001	(3.34435374114215e+001dB,-1.79001169774281e+002°)
1.38995263121334e+001	(3.34435434996714e+001dB,-1.78998867700279e+002°)
1.39315680294529e+001	(3.34435496165029e+001dB,-1.78996560322632e+002°)
1.39636836105593e+001	(3.34435557617869e+001dB,-1.78994247629166e+002°)
1.39958732257261e+001	(3.34435619344869e+001dB,-1.78991929607784e+002°)
1.40281370456195e+001	(3.34435681367385e+001dB,-1.78989606245994e+002°)
1.40604752412990e+001	(3.34435743665976e+001dB,-1.78987277531749e+002°)
1.40928879842186e+001	(3.34435806261988e+001dB,-1.78984943452501e+002°)
1.41253754462274e+001	(3.34435869140499e+001dB,-1.78982603996094e+002°)
1.41579377995707e+001	(3.34435932309245e+001dB,-1.78980259150082e+002°)
1.41905752168908e+001	(3.34435995771423e+001dB,-1.78977908902043e+002°)
1.42232878712281e+001	(3.34436059530222e+001dB,-1.78975553239524e+002°)
1.42560759360218e+001	(3.34436123575231e+001dB,-1.78973192150207e+002°)
1.42889395851109e+001	(3.34436187918693e+001dB,-1.78970825621478e+002°)
1.43218789927353e+001	(3.34436252563779e+001dB,-1.78968453640800e+002°)
1.43548943335364e+001	(3.34436317500058e+001dB,-1.78966076195769e+002°)
1.43879857825583e+001	(3.34436382739755e+001dB,-1.78963693273685e+002°)
1.44211535152486e+001	(3.34436448276957e+001dB,-1.78961304862032e+002°)
1.44543977074592e+001	(3.34436514123877e+001dB,-1.78958910948053e+002°)
1.44877185354475e+001	(3.34436580270057e+001dB,-1.78956511519229e+002°)
1.45211161758773e+001	(3.34436646718632e+001dB,-1.78954106562853e+002°)
1.45545908058195e+001	(3.34436713477262e+001dB,-1.78951696066131e+002°)
1.45881426027534e+001	(3.34436780544536e+001dB,-1.78949280016352e+002°)
1.46217717445671e+001	(3.34436847919035e+001dB,-1.78946858400775e+002°)
1.46554784095590e+001	(3.34436915603868e+001dB,-1.78944431206575e+002°)
1.46892627764385e+001	(3.34436983606670e+001dB,-1.78941998420843e+002°)
1.47231250243271e+001	(3.34437051916937e+001dB,-1.78939560030860e+002°)
1.47570653327588e+001	(3.34437120546824e+001dB,-1.78937116023603e+002°)
1.47910838816819e+001	(3.34437189490347e+001dB,-1.78934666386241e+002°)
1.48251808514594e+001	(3.34437258750581e+001dB,-1.78932211105803e+002°)
1.48593564228699e+001	(3.34437328335128e+001dB,-1.78929750169230e+002°)
1.48936107771090e+001	(3.34437398237983e+001dB,-1.78927283563604e+002°)
1.49279440957898e+001	(3.34437468466735e+001dB,-1.78924811275808e+002°)
1.49623565609442e+001	(3.34437539010834e+001dB,-1.78922333292921e+002°)
1.49968483550236e+001	(3.34437609886920e+001dB,-1.78919849601652e+002°)
1.50314196609001e+001	(3.34437681093493e+001dB,-1.78917360188910e+002°)
1.50660706618673e+001	(3.34437752619985e+001dB,-1.78914865041682e+002°)
1.51008015416413e+001	(3.34437824483013e+001dB,-1.78912364146589e+002°)
1.51356124843619e+001	(3.34437896671994e+001dB,-1.78909857490562e+002°)
1.51705036745932e+001	(3.34437969203532e+001dB,-1.78907345060159e+002°)
1.52054752973248e+001	(3.34438042057965e+001dB,-1.78904826842365e+002°)
1.52405275379728e+001	(3.34438115260946e+001dB,-1.78902302823564e+002°)
1.52756605823806e+001	(3.34438188792801e+001dB,-1.78899772990680e+002°)
1.53108746168202e+001	(3.34438262665572e+001dB,-1.78897237330208e+002°)
1.53461698279928e+001	(3.34438336882231e+001dB,-1.78894695828725e+002°)
1.53815464030302e+001	(3.34438411436677e+001dB,-1.78892148472894e+002°)
1.54170045294954e+001	(3.34438486336399e+001dB,-1.78889595249175e+002°)
1.54525443953840e+001	(3.34438561579815e+001dB,-1.78887036144111e+002°)
1.54881661891247e+001	(3.34438637178932e+001dB,-1.78884471144042e+002°)
1.55238700995807e+001	(3.34438713123088e+001dB,-1.78881900235566e+002°)
1.55596563160506e+001	(3.34438789415211e+001dB,-1.78879323405078e+002°)
1.55955250282694e+001	(3.34438866058222e+001dB,-1.78876740638940e+002°)
1.56314764264094e+001	(3.34438943055033e+001dB,-1.78874151923484e+002°)
1.56675107010813e+001	(3.34439020408550e+001dB,-1.78871557245010e+002°)
1.57036280433354e+001	(3.34439098121672e+001dB,-1.78868956589788e+002°)
1.57398286446620e+001	(3.34439176188223e+001dB,-1.78866349944175e+002°)
1.57761126969933e+001	(3.34439254620153e+001dB,-1.78863737294257e+002°)
1.58124803927037e+001	(3.34439333411271e+001dB,-1.78861118626331e+002°)
1.58489319246110e+001	(3.34439412564447e+001dB,-1.78858493926539e+002°)
1.58854674859776e+001	(3.34439492082539e+001dB,-1.78855863180995e+002°)
1.59220872705115e+001	(3.34439571972933e+001dB,-1.78853226375719e+002°)
1.59587914723672e+001	(3.34439652224876e+001dB,-1.78850583496941e+002°)
1.59955802861465e+001	(3.34439732854804e+001dB,-1.78847934530498e+002°)
1.60324539069002e+001	(3.34439813851948e+001dB,-1.78845279462556e+002°)
1.60694125301286e+001	(3.34439895219129e+001dB,-1.78842618279069e+002°)
1.61064563517825e+001	(3.34439976968226e+001dB,-1.78839950965839e+002°)
1.61435855682647e+001	(3.34440059092981e+001dB,-1.78837277508877e+002°)
1.61808003764305e+001	(3.34440141596190e+001dB,-1.78834597894039e+002°)
1.62181009735891e+001	(3.34440224480644e+001dB,-1.78831912107153e+002°)
1.62554875575047e+001	(3.34440307749124e+001dB,-1.78829220134011e+002°)
1.62929603263970e+001	(3.34440391395340e+001dB,-1.78826521960498e+002°)
1.63305194789432e+001	(3.34440475431122e+001dB,-1.78823817572220e+002°)
1.63681652142779e+001	(3.34440559854695e+001dB,-1.78821106954934e+002°)
1.64058977319952e+001	(3.34440644673342e+001dB,-1.78818390094243e+002°)
1.64437172321491e+001	(3.34440729876206e+001dB,-1.78815666975963e+002°)
1.64816239152549e+001	(3.34440815475085e+001dB,-1.78812937585570e+002°)
1.65196179822900e+001	(3.34440901468172e+001dB,-1.78810201908692e+002°)
1.65576996346951e+001	(3.34440987853650e+001dB,-1.78807459930923e+002°)
1.65958690743754e+001	(3.34441074643293e+001dB,-1.78804711637641e+002°)
1.66341265037015e+001	(3.34441161830736e+001dB,-1.78801957014437e+002°)
1.66724721255104e+001	(3.34441249423202e+001dB,-1.78799196046683e+002°)
1.67109061431069e+001	(3.34441337418842e+001dB,-1.78796428719843e+002°)
1.67494287602642e+001	(3.34441425820330e+001dB,-1.78793655019286e+002°)
1.67880401812254e+001	(3.34441514630333e+001dB,-1.78790874930346e+002°)
1.68267406107045e+001	(3.34441603846975e+001dB,-1.78788088438388e+002°)
1.68655302538872e+001	(3.34441693477437e+001dB,-1.78785295528618e+002°)
1.69044093164324e+001	(3.34441783524360e+001dB,-1.78782496186270e+002°)
1.69433780044731e+001	(3.34441873976777e+001dB,-1.78779690396736e+002°)
1.69824365246172e+001	(3.34441964855441e+001dB,-1.78776878144930e+002°)
1.70215850839493e+001	(3.34442056149368e+001dB,-1.78774059416177e+002°)
1.70608238900310e+001	(3.34442147870229e+001dB,-1.78771234195449e+002°)
1.71001531509027e+001	(3.34442240007022e+001dB,-1.78768402468006e+002°)
1.71395730750841e+001	(3.34442332575933e+001dB,-1.78765564218687e+002°)
1.71790838715757e+001	(3.34442425565941e+001dB,-1.78762719432684e+002°)
1.72186857498599e+001	(3.34442518988682e+001dB,-1.78759868094833e+002°)
1.72583789199018e+001	(3.34442612842184e+001dB,-1.78757010190129e+002°)
1.72981635921508e+001	(3.34442707124465e+001dB,-1.78754145703534e+002°)
1.73380399775412e+001	(3.34442801847132e+001dB,-1.78751274619779e+002°)
1.73780082874935e+001	(3.34442897003655e+001dB,-1.78748396923823e+002°)
1.74180687339159e+001	(3.34442992601089e+001dB,-1.78745512600394e+002°)
1.74582215292048e+001	(3.34443088637417e+001dB,-1.78742621634316e+002°)
1.74984668862464e+001	(3.34443185115144e+001dB,-1.78739724010314e+002°)
1.75388050184174e+001	(3.34443282041299e+001dB,-1.78736819713011e+002°)
1.75792361395867e+001	(3.34443379413836e+001dB,-1.78733908727129e+002°)
1.76197604641161e+001	(3.34443477239765e+001dB,-1.78730991037221e+002°)
1.76603782068614e+001	(3.34443575512490e+001dB,-1.78728066628005e+002°)
1.77010895831740e+001	(3.34443674239002e+001dB,-1.78725135483966e+002°)
1.77418948089014e+001	(3.34443773421749e+001dB,-1.78722197589618e+002°)
1.77827941003890e+001	(3.34443873058639e+001dB,-1.78719252929509e+002°)
1.78237876744807e+001	(3.34443973161166e+001dB,-1.78716301487951e+002°)
1.78648757485203e+001	(3.34444073718153e+001dB,-1.78713343249554e+002°)
1.79060585403527e+001	(3.34444174745609e+001dB,-1.78710378198490e+002°)
1.79473362683250e+001	(3.34444276236869e+001dB,-1.78707406319235e+002°)
1.79887091512877e+001	(3.34444378198856e+001dB,-1.78704427596024e+002°)
1.80301774085955e+001	(3.34444480624888e+001dB,-1.78701442013260e+002°)
1.80717412601090e+001	(3.34444583530932e+001dB,-1.78698449554973e+002°)
1.81134009261958e+001	(3.34444686910286e+001dB,-1.78695450205494e+002°)
1.81551566277311e+001	(3.34444790760768e+001dB,-1.78692443949054e+002°)
1.81970085860996e+001	(3.34444895093785e+001dB,-1.78689430769642e+002°)
1.82389570231961e+001	(3.34444999907136e+001dB,-1.78686410651413e+002°)
1.82810021614272e+001	(3.34445105207674e+001dB,-1.78683383578354e+002°)
1.83231442237119e+001	(3.34445210993178e+001dB,-1.78680349534549e+002°)
1.83653834334832e+001	(3.34445317265950e+001dB,-1.78677308503980e+002°)
1.84077200146893e+001	(3.34445424028280e+001dB,-1.78674260470590e+002°)
1.84501541917945e+001	(3.34445531277916e+001dB,-1.78671205418359e+002°)
1.84926861897805e+001	(3.34445639030726e+001dB,-1.78668143330949e+002°)
1.85353162341479e+001	(3.34445747275372e+001dB,-1.78665074192404e+002°)
1.85780445509167e+001	(3.34445856023168e+001dB,-1.78661997986384e+002°)
1.86208713666284e+001	(3.34445965267289e+001dB,-1.78658914696790e+002°)
1.86637969083464e+001	(3.34446075019027e+001dB,-1.78655824307208e+002°)
1.87068214036578e+001	(3.34446185280601e+001dB,-1.78652726801327e+002°)
1.87499450806739e+001	(3.34446296045153e+001dB,-1.78649622162937e+002°)
1.87931681680324e+001	(3.34446407323944e+001dB,-1.78646510375514e+002°)
1.88364908948977e+001	(3.34446519114628e+001dB,-1.78643391422705e+002°)
1.88799134909627e+001	(3.34446631419380e+001dB,-1.78640265288052e+002°)
1.89234361864495e+001	(3.34446744244896e+001dB,-1.78637131954985e+002°)
1.89670592121112e+001	(3.34446857588797e+001dB,-1.78633991407043e+002°)
1.90107827992327e+001	(3.34446971457760e+001dB,-1.78630843627582e+002°)
1.90546071796322e+001	(3.34447085849381e+001dB,-1.78627688600065e+002°)
1.90985325856621e+001	(3.34447200770316e+001dB,-1.78624526307774e+002°)
1.91425592502106e+001	(3.34447316222672e+001dB,-1.78621356734025e+002°)
1.91866874067026e+001	(3.34447432204016e+001dB,-1.78618179862169e+002°)
1.92309172891013e+001	(3.34447548725501e+001dB,-1.78614995675300e+002°)
1.92752491319091e+001	(3.34447665780137e+001dB,-1.78611804156767e+002°)
1.93196831701690e+001	(3.34447783379054e+001dB,-1.78608605289588e+002°)
1.93642196394658e+001	(3.34447901519772e+001dB,-1.78605399056964e+002°)
1.94088587759275e+001	(3.34448020204335e+001dB,-1.78602185441982e+002°)
1.94536008162263e+001	(3.34448139434773e+001dB,-1.78598964427694e+002°)
1.94984459975802e+001	(3.34448259217637e+001dB,-1.78595735997037e+002°)
1.95433945577537e+001	(3.34448379545870e+001dB,-1.78592500133131e+002°)
1.95884467350596e+001	(3.34448500439598e+001dB,-1.78589256818620e+002°)
1.96336027683602e+001	(3.34448621882676e+001dB,-1.78586006036693e+002°)
1.96788628970682e+001	(3.34448743895207e+001dB,-1.78582747769913e+002°)
1.97242273611483e+001	(3.34448866461022e+001dB,-1.78579482001395e+002°)
1.97696964011183e+001	(3.34448989595667e+001dB,-1.78576208713698e+002°)
1.98152702580507e+001	(3.34449113296547e+001dB,-1.78572927889638e+002°)
1.98609491735734e+001	(3.34449237570121e+001dB,-1.78569639511843e+002°)
1.99067333898716e+001	(3.34449362422835e+001dB,-1.78566343562901e+002°)
1.99526231496885e+001	(3.34449487842993e+001dB,-1.78563040025662e+002°)
1.99986186963271e+001	(3.34449613841549e+001dB,-1.78559728882561e+002°)
2.00447202736513e+001	(3.34449740424914e+001dB,-1.78556410116070e+002°)
2.00909281260870e+001	(3.34449867590420e+001dB,-1.78553083708770e+002°)
2.01372424986236e+001	(3.34449995344453e+001dB,-1.78549749643053e+002°)
2.01836636368153e+001	(3.34450123688854e+001dB,-1.78546407901347e+002°)
2.02301917867824e+001	(3.34450252620919e+001dB,-1.78543058466115e+002°)
2.02768271952125e+001	(3.34450382151529e+001dB,-1.78539701319555e+002°)
2.03235701093619e+001	(3.34450512277955e+001dB,-1.78536336444050e+002°)
2.03704207770569e+001	(3.34450643006521e+001dB,-1.78532963821793e+002°)
2.04173794466950e+001	(3.34450774334473e+001dB,-1.78529583435089e+002°)
2.04644463672464e+001	(3.34450906272642e+001dB,-1.78526195265974e+002°)
2.05116217882553e+001	(3.34451038818249e+001dB,-1.78522799296673e+002°)
2.05589059598411e+001	(3.34451171973035e+001dB,-1.78519395509294e+002°)
2.06062991326997e+001	(3.34451305743259e+001dB,-1.78515983885829e+002°)
2.06538015581050e+001	(3.34451440126105e+001dB,-1.78512564408382e+002°)
2.07014134879101e+001	(3.34451575136872e+001dB,-1.78509137058707e+002°)
2.07491351745488e+001	(3.34451710763652e+001dB,-1.78505701818985e+002°)
2.07969668710366e+001	(3.34451847021718e+001dB,-1.78502258670887e+002°)
2.08449088309726e+001	(3.34451983903668e+001dB,-1.78498807596435e+002°)
2.08929613085401e+001	(3.34452121420218e+001dB,-1.78495348577297e+002°)
2.09411245585086e+001	(3.34452259568471e+001dB,-1.78491881595334e+002°)
2.09893988362349e+001	(3.34452398354584e+001dB,-1.78488406632210e+002°)
2.10377843976644e+001	(3.34452537784699e+001dB,-1.78484923669548e+002°)
2.10862814993326e+001	(3.34452677851349e+001dB,-1.78481432689165e+002°)
2.11348903983661e+001	(3.34452818569712e+001dB,-1.78477933672444e+002°)
2.11836113524847e+001	(3.34452959936829e+001dB,-1.78474426601040e+002°)
2.12324446200019e+001	(3.34453101949721e+001dB,-1.78470911456570e+002°)
2.12813904598268e+001	(3.34453244623530e+001dB,-1.78467388220288e+002°)
2.13304491314654e+001	(3.34453387955251e+001dB,-1.78463856873728e+002°)
2.13796208950220e+001	(3.34453531946400e+001dB,-1.78460317398300e+002°)
2.14289060112002e+001	(3.34453676603011e+001dB,-1.78456769775294e+002°)
2.14783047413050e+001	(3.34453821926571e+001dB,-1.78453213986036e+002°)
2.15278173472434e+001	(3.34453967914022e+001dB,-1.78449650011895e+002°)
2.15774440915263e+001	(3.34454114580421e+001dB,-1.78446077833869e+002°)
2.16271852372698e+001	(3.34454261927213e+001dB,-1.78442497433161e+002°)
2.16770410481966e+001	(3.34454409951297e+001dB,-1.78438908791010e+002°)
2.17270117886371e+001	(3.34454558654091e+001dB,-1.78435311888533e+002°)
2.17770977235312e+001	(3.34454708046063e+001dB,-1.78431706706642e+002°)
2.18272991184297e+001	(3.34454858124068e+001dB,-1.78428093226449e+002°)
2.18776162394952e+001	(3.34455008898546e+001dB,-1.78424471428780e+002°)
2.19280493535041e+001	(3.34455160366325e+001dB,-1.78420841294663e+002°)
2.19785987278479e+001	(3.34455312528751e+001dB,-1.78417202805003e+002°)
2.20292646305342e+001	(3.34455465396217e+001dB,-1.78413555940494e+002°)
2.20800473301886e+001	(3.34455618970042e+001dB,-1.78409900681955e+002°)
2.21309470960560e+001	(3.34455773251526e+001dB,-1.78406237010159e+002°)
2.21819641980018e+001	(3.34455928246488e+001dB,-1.78402564905756e+002°)
2.22330989065137e+001	(3.34456083956201e+001dB,-1.78398884349434e+002°)
2.22843514927027e+001	(3.34456240381921e+001dB,-1.78395195321837e+002°)
2.23357222283049e+001	(3.34456397529423e+001dB,-1.78391497803483e+002°)
2.23872113856830e+001	(3.34456555399934e+001dB,-1.78387791774930e+002°)
2.24388192378273e+001	(3.34456714003730e+001dB,-1.78384077216526e+002°)
2.24905460583574e+001	(3.34456873337475e+001dB,-1.78380354108823e+002°)
2.25423921215239e+001	(3.34457033402351e+001dB,-1.78376622432250e+002°)
2.25943577022094e+001	(3.34457194204057e+001dB,-1.78372882167104e+002°)
2.26464430759302e+001	(3.34457355757341e+001dB,-1.78369133293471e+002°)
2.26986485188378e+001	(3.34457518045207e+001dB,-1.78365375791984e+002°)
2.27509743077203e+001	(3.34457681086906e+001dB,-1.78361609642554e+002°)
