Freq.	V(n003)/I(I1)
1.00995029412032e+003	(-1.90653058879832e+001dB,9.34326086940272e+001°)
1.01018287054483e+003	(-1.90632728141418e+001dB,9.34341671858422e+001°)
1.01041550052821e+003	(-1.90612397236640e+001dB,9.34357258415268e+001°)
1.01064818408279e+003	(-1.90592066165440e+001dB,9.34372846625276e+001°)
1.01088092122091e+003	(-1.90571734927834e+001dB,9.34388436477167e+001°)
1.01111371195490e+003	(-1.90551403523506e+001dB,9.34404027989971e+001°)
1.01134655629712e+003	(-1.90531071952617e+001dB,9.34419621152463e+001°)
1.01157945425989e+003	(-1.90510740214957e+001dB,9.34435215969661e+001°)
1.01181240585558e+003	(-1.90490408310541e+001dB,9.34450812430285e+001°)
1.01204541109654e+003	(-1.90470076239308e+001dB,9.34466410548768e+001°)
1.01227846999511e+003	(-1.90449744001162e+001dB,9.34482010325479e+001°)
1.01251158256365e+003	(-1.90429411596079e+001dB,9.34497611749126e+001°)
1.01274474881453e+003	(-1.90409079023789e+001dB,9.34513214838714e+001°)
1.01297796876010e+003	(-1.90388746284531e+001dB,9.34528819569032e+001°)
1.01321124241273e+003	(-1.90368413378056e+001dB,9.34544425975437e+001°)
1.01344456978479e+003	(-1.90348080304277e+001dB,9.34560034030255e+001°)
1.01367795088864e+003	(-1.90327747063273e+001dB,9.34575643743263e+001°)
1.01391138573667e+003	(-1.90307413654852e+001dB,9.34591255114781e+001°)
1.01414487434125e+003	(-1.90287080078967e+001dB,9.34606868142851e+001°)
1.01437841671476e+003	(-1.90266746335605e+001dB,9.34622482834864e+001°)
1.01461201286958e+003	(-1.90246412424637e+001dB,9.34638099188822e+001°)
1.01484566281809e+003	(-1.90226078345992e+001dB,9.34653717202752e+001°)
1.01507936657269e+003	(-1.90205744099630e+001dB,9.34669336881689e+001°)
1.01531312414576e+003	(-1.90185409685527e+001dB,9.34684958226006e+001°)
1.01554693554969e+003	(-1.90165075103495e+001dB,9.34700581231345e+001°)
1.01578080079689e+003	(-1.90144740353569e+001dB,9.34716205898102e+001°)
1.01601471989976e+003	(-1.90124405435602e+001dB,9.34731832240576e+001°)
1.01624869287069e+003	(-1.90104070349724e+001dB,9.34747460235895e+001°)
1.01648271972209e+003	(-1.90083735095620e+001dB,9.34763089909929e+001°)
1.01671680046637e+003	(-1.90063399673440e+001dB,9.34778721237492e+001°)
1.01695093511594e+003	(-1.90043064082807e+001dB,9.34794354246741e+001°)
1.01718512368321e+003	(-1.90022728323939e+001dB,9.34809988912524e+001°)
1.01741936618060e+003	(-1.90002392396663e+001dB,9.34825625263062e+001°)
1.01765366262053e+003	(-1.89982056300968e+001dB,9.34841263270789e+001°)
1.01788801301542e+003	(-1.89961720036612e+001dB,9.34856902959232e+001°)
1.01812241737769e+003	(-1.89941383603722e+001dB,9.34872544314843e+001°)
1.01835687571978e+003	(-1.89921047002242e+001dB,9.34888187344932e+001°)
1.01859138805411e+003	(-1.89900710231991e+001dB,9.34903832040481e+001°)
1.01882595439312e+003	(-1.89880373292892e+001dB,9.34919478418080e+001°)
1.01906057474924e+003	(-1.89860036184912e+001dB,9.34935126466443e+001°)
1.01929524913492e+003	(-1.89839698908106e+001dB,9.34950776188265e+001°)
1.01952997756260e+003	(-1.89819361462139e+001dB,9.34966427595366e+001°)
1.01976476004471e+003	(-1.89799023847185e+001dB,9.34982080669580e+001°)
1.01999959659371e+003	(-1.89778686063034e+001dB,9.34997735422774e+001°)
1.02023448722206e+003	(-1.89758348109752e+001dB,9.35013391857631e+001°)
1.02046943194219e+003	(-1.89738009987035e+001dB,9.35029049972042e+001°)
1.02070443076658e+003	(-1.89717671695087e+001dB,9.35044709764102e+001°)
1.02093948370767e+003	(-1.89697333233653e+001dB,9.35060371234043e+001°)
1.02117459077794e+003	(-1.89676994602750e+001dB,9.35076034389155e+001°)
1.02140975198984e+003	(-1.89656655802293e+001dB,9.35091699225093e+001°)
1.02164496735585e+003	(-1.89636316832254e+001dB,9.35107365739855e+001°)
1.02188023688843e+003	(-1.89615977692517e+001dB,9.35123033940666e+001°)
1.02211556060006e+003	(-1.89595638383003e+001dB,9.35138703818550e+001°)
1.02235093850322e+003	(-1.89575298903672e+001dB,9.35154375387707e+001°)
1.02258637061039e+003	(-1.89554959254457e+001dB,9.35170048632216e+001°)
1.02282185693404e+003	(-1.89534619435108e+001dB,9.35185723580067e+001°)
1.02305739748666e+003	(-1.89514279445908e+001dB,9.35201400203911e+001°)
1.02329299228075e+003	(-1.89493939286572e+001dB,9.35217078515514e+001°)
1.02352864132878e+003	(-1.89473598957010e+001dB,9.35232758517460e+001°)
1.02376434464327e+003	(-1.89453258457212e+001dB,9.35248440210047e+001°)
1.02400010223669e+003	(-1.89432917787088e+001dB,9.35264123593542e+001°)
1.02423591412156e+003	(-1.89412576946613e+001dB,9.35279808658989e+001°)
1.02447178031037e+003	(-1.89392235935685e+001dB,9.35295495418204e+001°)
1.02470770081564e+003	(-1.89371894754255e+001dB,9.35311183869151e+001°)
1.02494367564986e+003	(-1.89351553402208e+001dB,9.35326874016696e+001°)
1.02517970482555e+003	(-1.89331211879490e+001dB,9.35342565854180e+001°)
1.02541578835522e+003	(-1.89310870186076e+001dB,9.35358259386500e+001°)
1.02565192625140e+003	(-1.89290528321888e+001dB,9.35373954609297e+001°)
1.02588811852659e+003	(-1.89270186286798e+001dB,9.35389651525115e+001°)
1.02612436519333e+003	(-1.89249844080777e+001dB,9.35405350150371e+001°)
1.02636066626414e+003	(-1.89229501703759e+001dB,9.35421050457638e+001°)
1.02659702175154e+003	(-1.89209159155673e+001dB,9.35436752472537e+001°)
1.02683343166808e+003	(-1.89188816436480e+001dB,9.35452456174577e+001°)
1.02706989602627e+003	(-1.89168473546038e+001dB,9.35468161584721e+001°)
1.02730641483867e+003	(-1.89148130484335e+001dB,9.35483868689407e+001°)
1.02754298811780e+003	(-1.89127787251272e+001dB,9.35499577493475e+001°)
1.02777961587622e+003	(-1.89107443846712e+001dB,9.35515288006349e+001°)
1.02801629812646e+003	(-1.89087100270749e+001dB,9.35531000212211e+001°)
1.02825303488109e+003	(-1.89066756523248e+001dB,9.35546714122786e+001°)
1.02848982615264e+003	(-1.89046412604096e+001dB,9.35562429735983e+001°)
1.02872667195367e+003	(-1.89026068513237e+001dB,9.35578147052041e+001°)
1.02896357229674e+003	(-1.89005724250616e+001dB,9.35593866071194e+001°)
1.02920052719442e+003	(-1.88985379816223e+001dB,9.35609586795994e+001°)
1.02943753665926e+003	(-1.88965035209790e+001dB,9.35625309235780e+001°)
1.02967460070382e+003	(-1.88944690431508e+001dB,9.35641033372485e+001°)
1.02991171934069e+003	(-1.88924345481093e+001dB,9.35656759217738e+001°)
1.03014889258242e+003	(-1.88904000358665e+001dB,9.35672486769536e+001°)
1.03038612044161e+003	(-1.88883655063999e+001dB,9.35688216032625e+001°)
1.03062340293081e+003	(-1.88863309597094e+001dB,9.35703947002654e+001°)
1.03086074006262e+003	(-1.88842963957809e+001dB,9.35719679684395e+001°)
1.03109813184961e+003	(-1.88822618146184e+001dB,9.35735414075807e+001°)
1.03133557830437e+003	(-1.88802272162095e+001dB,9.35751150177075e+001°)
1.03157307943950e+003	(-1.88781926005446e+001dB,9.35766887997570e+001°)
1.03181063526758e+003	(-1.88761579676214e+001dB,9.35782627521454e+001°)
1.03204824580121e+003	(-1.88741233174335e+001dB,9.35798368760399e+001°)
1.03228591105299e+003	(-1.88720886499716e+001dB,9.35814111714595e+001°)
1.03252363103551e+003	(-1.88700539652206e+001dB,9.35829856388787e+001°)
1.03276140576139e+003	(-1.88680192631876e+001dB,9.35845602771765e+001°)
1.03299923524322e+003	(-1.88659845438551e+001dB,9.35861350877426e+001°)
1.03323711949362e+003	(-1.88639498072256e+001dB,9.35877100696835e+001°)
1.03347505852520e+003	(-1.88619150532907e+001dB,9.35892852227883e+001°)
1.03371305235057e+003	(-1.88598802820382e+001dB,9.35908605479895e+001°)
1.03395110098236e+003	(-1.88578454934537e+001dB,9.35924360457601e+001°)
1.03418920443318e+003	(-1.88558106875447e+001dB,9.35940117149793e+001°)
1.03442736271566e+003	(-1.88537758642969e+001dB,9.35955875565775e+001°)
1.03466557584243e+003	(-1.88517410237066e+001dB,9.35971635703445e+001°)
1.03490384382610e+003	(-1.88497061657606e+001dB,9.35987397560666e+001°)
1.03514216667933e+003	(-1.88476712904610e+001dB,9.36003161142220e+001°)
1.03538054441474e+003	(-1.88456363977987e+001dB,9.36018926441410e+001°)
1.03561897704497e+003	(-1.88436014877524e+001dB,9.36034693476629e+001°)
1.03585746458267e+003	(-1.88415665603313e+001dB,9.36050462225255e+001°)
1.03609600704047e+003	(-1.88395316155241e+001dB,9.36066232710281e+001°)
1.03633460443103e+003	(-1.88374966533238e+001dB,9.36082004915874e+001°)
1.03657325676699e+003	(-1.88354616737272e+001dB,9.36097778842214e+001°)
1.03681196406101e+003	(-1.88334266767220e+001dB,9.36113554498568e+001°)
1.03705072632575e+003	(-1.88313916622937e+001dB,9.36129331889622e+001°)
1.03728954357386e+003	(-1.88293566304504e+001dB,9.36145111006459e+001°)
1.03752841581800e+003	(-1.88273215811750e+001dB,9.36160891853752e+001°)
1.03776734307084e+003	(-1.88252865144685e+001dB,9.36176674429400e+001°)
1.03800632534505e+003	(-1.88232514303094e+001dB,9.36192458738050e+001°)
1.03824536265330e+003	(-1.88212163287071e+001dB,9.36208244779910e+001°)
1.03848445500826e+003	(-1.88191812096527e+001dB,9.36224032548277e+001°)
1.03872360242261e+003	(-1.88171460731192e+001dB,9.36239822059159e+001°)
1.03896280490902e+003	(-1.88151109191267e+001dB,9.36255613296853e+001°)
1.03920206248019e+003	(-1.88130757476433e+001dB,9.36271406275058e+001°)
1.03944137514879e+003	(-1.88110405586868e+001dB,9.36287200980345e+001°)
1.03968074292751e+003	(-1.88090053522291e+001dB,9.36302997428696e+001°)
1.03992016582905e+003	(-1.88069701282751e+001dB,9.36318795611180e+001°)
1.04015964386609e+003	(-1.88049348868162e+001dB,9.36334595532468e+001°)
1.04039917705134e+003	(-1.88028996278395e+001dB,9.36350397190383e+001°)
1.04063876539749e+003	(-1.88008643513479e+001dB,9.36366200585089e+001°)
1.04087840891725e+003	(-1.87988290573168e+001dB,9.36382005723453e+001°)
1.04111810762333e+003	(-1.87967937457561e+001dB,9.36397812603386e+001°)
1.04135786152842e+003	(-1.87947584166549e+001dB,9.36413621220440e+001°)
1.04159767064525e+003	(-1.87927230699999e+001dB,9.36429431586065e+001°)
1.04183753498652e+003	(-1.87906877057859e+001dB,9.36445243686744e+001°)
1.04207745456496e+003	(-1.87886523240167e+001dB,9.36461057533991e+001°)
1.04231742939329e+003	(-1.87866169246680e+001dB,9.36476873125565e+001°)
1.04255745948422e+003	(-1.87845815077512e+001dB,9.36492690454837e+001°)
1.04279754485049e+003	(-1.87825460732400e+001dB,9.36508509535449e+001°)
1.04303768550482e+003	(-1.87805106211352e+001dB,9.36524330365259e+001°)
1.04327788145995e+003	(-1.87784751514342e+001dB,9.36540152933039e+001°)
1.04351813272861e+003	(-1.87764396641247e+001dB,9.36555977257010e+001°)
1.04375843932353e+003	(-1.87744041592060e+001dB,9.36571803323681e+001°)
1.04399880125747e+003	(-1.87723686366629e+001dB,9.36587631137645e+001°)
1.04423921854316e+003	(-1.87703330964885e+001dB,9.36603460703524e+001°)
1.04447969119335e+003	(-1.87682975386777e+001dB,9.36619292023675e+001°)
1.04472021922078e+003	(-1.87662619632404e+001dB,9.36635125080132e+001°)
1.04496080263822e+003	(-1.87642263701348e+001dB,9.36650959906806e+001°)
1.04520144145842e+003	(-1.87621907593820e+001dB,9.36666796469922e+001°)
1.04544213569413e+003	(-1.87601551309554e+001dB,9.36682634803439e+001°)
1.04568288535812e+003	(-1.87581194848586e+001dB,9.36698474880309e+001°)
1.04592369046315e+003	(-1.87560838210865e+001dB,9.36714316716456e+001°)
1.04616455102199e+003	(-1.87540481396322e+001dB,9.36730160300637e+001°)
1.04640546704741e+003	(-1.87520124404773e+001dB,9.36746005650972e+001°)
1.04664643855218e+003	(-1.87499767236275e+001dB,9.36761852749484e+001°)
1.04688746554908e+003	(-1.87479409890651e+001dB,9.36777701612021e+001°)
1.04712854805088e+003	(-1.87459052367939e+001dB,9.36793552225127e+001°)
1.04736968607038e+003	(-1.87438694668036e+001dB,9.36809404593371e+001°)
1.04761087962034e+003	(-1.87418336790691e+001dB,9.36825258734807e+001°)
1.04785212871357e+003	(-1.87397978736084e+001dB,9.36841114631520e+001°)
1.04809343336286e+003	(-1.87377620504125e+001dB,9.36856972281300e+001°)
1.04833479358098e+003	(-1.87357262094464e+001dB,9.36872831706658e+001°)
1.04857620938075e+003	(-1.87336903507308e+001dB,9.36888692887438e+001°)
1.04881768077497e+003	(-1.87316544742553e+001dB,9.36904555828192e+001°)
1.04905920777643e+003	(-1.87296185800091e+001dB,9.36920420531203e+001°)
1.04930079039794e+003	(-1.87275826679757e+001dB,9.36936287000986e+001°)
1.04954242865230e+003	(-1.87255467381525e+001dB,9.36952155242106e+001°)
1.04978412255234e+003	(-1.87235107905426e+001dB,9.36968025236608e+001°)
1.05002587211087e+003	(-1.87214748251276e+001dB,9.36983897007021e+001°)
1.05026767734069e+003	(-1.87194388419051e+001dB,9.36999770548887e+001°)
1.05050953825464e+003	(-1.87174028408656e+001dB,9.37015645846456e+001°)
1.05075145486553e+003	(-1.87153668220050e+001dB,9.37031522922297e+001°)
1.05099342718620e+003	(-1.87133307853113e+001dB,9.37047401760648e+001°)
1.05123545522946e+003	(-1.87112947307817e+001dB,9.37063282377314e+001°)
1.05147753900816e+003	(-1.87092586584063e+001dB,9.37079164754294e+001°)
1.05171967853513e+003	(-1.87072225681788e+001dB,9.37095048909620e+001°)
1.05196187382320e+003	(-1.87051864600855e+001dB,9.37110934838776e+001°)
1.05220412488522e+003	(-1.87031503341381e+001dB,9.37126822535111e+001°)
1.05244643173404e+003	(-1.87011141903058e+001dB,9.37142712007533e+001°)
1.05268879438248e+003	(-1.86990780285945e+001dB,9.37158603258355e+001°)
1.05293121284342e+003	(-1.86970418489955e+001dB,9.37174496278587e+001°)
1.05317368712970e+003	(-1.86950056514999e+001dB,9.37190391074973e+001°)
1.05341621725417e+003	(-1.86929694361033e+001dB,9.37206287652020e+001°)
1.05365880322970e+003	(-1.86909332027929e+001dB,9.37222186000719e+001°)
1.05390144506914e+003	(-1.86888969515648e+001dB,9.37238086134561e+001°)
1.05414414278537e+003	(-1.86868606824157e+001dB,9.37253988042330e+001°)
1.05438689639124e+003	(-1.86848243953283e+001dB,9.37269891726226e+001°)
1.05462970589963e+003	(-1.86827880903052e+001dB,9.37285797193016e+001°)
1.05487257132342e+003	(-1.86807517673315e+001dB,9.37301704440413e+001°)
1.05511549267547e+003	(-1.86787154264095e+001dB,9.37317613466205e+001°)
1.05535846996867e+003	(-1.86766790675198e+001dB,9.37333524279295e+001°)
1.05560150321591e+003	(-1.86746426906538e+001dB,9.37349436879657e+001°)
1.05584459243006e+003	(-1.86726062958295e+001dB,9.37365351249452e+001°)
1.05608773762402e+003	(-1.86705698830122e+001dB,9.37381267413195e+001°)
1.05633093881067e+003	(-1.86685334522062e+001dB,9.37397185352987e+001°)
1.05657419600291e+003	(-1.86664970034000e+001dB,9.37413105084468e+001°)
1.05681750921364e+003	(-1.86644605365865e+001dB,9.37429026603128e+001°)
1.05706087845575e+003	(-1.86624240517542e+001dB,9.37444949917874e+001°)
1.05730430374216e+003	(-1.86603875489057e+001dB,9.37460875008570e+001°)
1.05754778508577e+003	(-1.86583510280308e+001dB,9.37476801890838e+001°)
1.05779132249948e+003	(-1.86563144891227e+001dB,9.37492730562406e+001°)
1.05803491599621e+003	(-1.86542779321682e+001dB,9.37508661020973e+001°)
1.05827856558887e+003	(-1.86522413571672e+001dB,9.37524593271005e+001°)
1.05852227129039e+003	(-1.86502047641109e+001dB,9.37540527316921e+001°)
1.05876603311368e+003	(-1.86481681529789e+001dB,9.37556463154149e+001°)
1.05900985107166e+003	(-1.86461315237782e+001dB,9.37572400784936e+001°)
1.05925372517727e+003	(-1.86440948765057e+001dB,9.37588340200318e+001°)
1.05949765544343e+003	(-1.86420582111415e+001dB,9.37604281418060e+001°)
1.05974164188308e+003	(-1.86400215276711e+001dB,9.37620224433605e+001°)
1.05998568450915e+003	(-1.86379848261217e+001dB,9.37636169235885e+001°)
1.06022978333458e+003	(-1.86359481064562e+001dB,9.37652115831414e+001°)
1.06047393837231e+003	(-1.86339113686662e+001dB,9.37668064235747e+001°)
1.06071814963529e+003	(-1.86318746127540e+001dB,9.37684014437701e+001°)
1.06096241713647e+003	(-1.86298378387092e+001dB,9.37699966432739e+001°)
1.06120674088879e+003	(-1.86278010465371e+001dB,9.37715920220852e+001°)
1.06145112090522e+003	(-1.86257642362077e+001dB,9.37731875817481e+001°)
1.06169555719870e+003	(-1.86237274077287e+001dB,9.37747833211470e+001°)
1.06194004978220e+003	(-1.86216905610856e+001dB,9.37763792407174e+001°)
1.06218459866868e+003	(-1.86196536962767e+001dB,9.37779753408995e+001°)
1.06242920387110e+003	(-1.86176168132908e+001dB,9.37795716205702e+001°)
1.06267386540244e+003	(-1.86155799121292e+001dB,9.37811680808389e+001°)
1.06291858327567e+003	(-1.86135429927645e+001dB,9.37827647219110e+001°)
1.06316335750375e+003	(-1.86115060552091e+001dB,9.37843615431189e+001°)
1.06340818809967e+003	(-1.86094690994428e+001dB,9.37859585451160e+001°)
1.06365307507641e+003	(-1.86074321254701e+001dB,9.37875557272311e+001°)
1.06389801844696e+003	(-1.86053951332804e+001dB,9.37891530901211e+001°)
1.06414301822429e+003	(-1.86033581228558e+001dB,9.37907506337720e+001°)
1.06438807442140e+003	(-1.86013210941943e+001dB,9.37923483590659e+001°)
1.06463318705129e+003	(-1.85992840472921e+001dB,9.37939462646604e+001°)
1.06487835612694e+003	(-1.85972469821466e+001dB,9.37955443503260e+001°)
1.06512358166136e+003	(-1.85952098987310e+001dB,9.37971426184879e+001°)
1.06536886366754e+003	(-1.85931727970526e+001dB,9.37987410673645e+001°)
1.06561420215849e+003	(-1.85911356771023e+001dB,9.38003396973887e+001°)
1.06585959714723e+003	(-1.85890985388797e+001dB,9.38019385083308e+001°)
1.06610504864676e+003	(-1.85870613823561e+001dB,9.38035375012801e+001°)
1.06635055667008e+003	(-1.85850242075512e+001dB,9.38051366746837e+001°)
1.06659612123023e+003	(-1.85829870144447e+001dB,9.38067360296340e+001°)
1.06684174234022e+003	(-1.85809498030250e+001dB,9.38083355663393e+001°)
1.06708742001307e+003	(-1.85789125732737e+001dB,9.38099352856693e+001°)
1.06733315426181e+003	(-1.85768753252159e+001dB,9.38115351849655e+001°)
1.06757894509947e+003	(-1.85748380588080e+001dB,9.38131352673033e+001°)
1.06782479253907e+003	(-1.85728007740679e+001dB,9.38147355313510e+001°)
1.06807069659366e+003	(-1.85707634709860e+001dB,9.38163359768731e+001°)
1.06831665727627e+003	(-1.85687261495341e+001dB,9.38179366047338e+001°)
1.06856267459994e+003	(-1.85666888097359e+001dB,9.38195374142688e+001°)
1.06880874857771e+003	(-1.85646514515673e+001dB,9.38211384056788e+001°)
1.06905487922263e+003	(-1.85626140750116e+001dB,9.38227395793889e+001°)
1.06930106654776e+003	(-1.85605766800730e+001dB,9.38243409358325e+001°)
1.06954731056613e+003	(-1.85585392667386e+001dB,9.38259424749928e+001°)
1.06979361129082e+003	(-1.85565018350126e+001dB,9.38275441950910e+001°)
1.07003996873488e+003	(-1.85544643848710e+001dB,9.38291460987592e+001°)
1.07028638291136e+003	(-1.85524269163185e+001dB,9.38307481846610e+001°)
1.07053285383334e+003	(-1.85503894293369e+001dB,9.38323504536607e+001°)
1.07077938151387e+003	(-1.85483519239317e+001dB,9.38339529046437e+001°)
1.07102596596605e+003	(-1.85463144000884e+001dB,9.38355555380336e+001°)
1.07127260720292e+003	(-1.85442768577974e+001dB,9.38371583551389e+001°)
1.07151930523758e+003	(-1.85422392970556e+001dB,9.38387613541788e+001°)
1.07176606008310e+003	(-1.85402017178534e+001dB,9.38403645369025e+001°)
1.07201287175257e+003	(-1.85381641201786e+001dB,9.38419679024085e+001°)
1.07225974025906e+003	(-1.85361265040280e+001dB,9.38435714511234e+001°)
1.07250666561568e+003	(-1.85340888693961e+001dB,9.38451751832516e+001°)
1.07275364783550e+003	(-1.85320512162714e+001dB,9.38467790985537e+001°)
1.07300068693163e+003	(-1.85300135446547e+001dB,9.38483831963546e+001°)
1.07324778291717e+003	(-1.85279758545242e+001dB,9.38499874786150e+001°)
1.07349493580521e+003	(-1.85259381458859e+001dB,9.38515919435592e+001°)
1.07374214560886e+003	(-1.85239004187188e+001dB,9.38531965924857e+001°)
1.07398941234122e+003	(-1.85218626730369e+001dB,9.38548014242844e+001°)
1.07423673601540e+003	(-1.85198249088023e+001dB,9.38564064406856e+001°)
1.07448411664453e+003	(-1.85177871260339e+001dB,9.38580116401405e+001°)
1.07473155424171e+003	(-1.85157493247055e+001dB,9.38596170237230e+001°)
1.07497904882005e+003	(-1.85137115048303e+001dB,9.38612225909830e+001°)
1.07522660039270e+003	(-1.85116736663816e+001dB,9.38628283423328e+001°)
1.07547420897276e+003	(-1.85096358093485e+001dB,9.38644342781912e+001°)
1.07572187457337e+003	(-1.85075979337439e+001dB,9.38660403974476e+001°)
1.07596959720766e+003	(-1.85055600395504e+001dB,9.38676467013974e+001°)
1.07621737688876e+003	(-1.85035221267586e+001dB,9.38692531887004e+001°)
1.07646521362981e+003	(-1.85014841953605e+001dB,9.38708598610946e+001°)
1.07671310744394e+003	(-1.84994462453523e+001dB,9.38724667172423e+001°)
1.07696105834431e+003	(-1.84974082767279e+001dB,9.38740737575630e+001°)
1.07720906634406e+003	(-1.84953702894654e+001dB,9.38756809835668e+001°)
1.07745713145634e+003	(-1.84933322835695e+001dB,9.38772883937001e+001°)
1.07770525369429e+003	(-1.84912942590269e+001dB,9.38788959888171e+001°)
1.07795343307108e+003	(-1.84892562158403e+001dB,9.38805037678033e+001°)
1.07820166959987e+003	(-1.84872181539947e+001dB,9.38821117321698e+001°)
1.07844996329380e+003	(-1.84851800734838e+001dB,9.38837198805784e+001°)
1.07869831416606e+003	(-1.84831419742967e+001dB,9.38853282149796e+001°)
1.07894672222980e+003	(-1.84811038564257e+001dB,9.38869367344731e+001°)
1.07919518749820e+003	(-1.84790657198703e+001dB,9.38885454381622e+001°)
1.07944370998442e+003	(-1.84770275646123e+001dB,9.38901543277731e+001°)
1.07969228970166e+003	(-1.84749893906577e+001dB,9.38917634015350e+001°)
1.07994092666308e+003	(-1.84729511979893e+001dB,9.38933726613926e+001°)
1.08018962088186e+003	(-1.84709129865958e+001dB,9.38949821066628e+001°)
1.08043837237120e+003	(-1.84688747564726e+001dB,9.38965917375419e+001°)
1.08068718114428e+003	(-1.84668365076236e+001dB,9.38982015537920e+001°)
1.08093604721430e+003	(-1.84647982400183e+001dB,9.38998115555973e+001°)
1.08118497059444e+003	(-1.84627599536785e+001dB,9.39014217425089e+001°)
1.08143395129791e+003	(-1.84607216485746e+001dB,9.39030321153674e+001°)
1.08168298933790e+003	(-1.84586833247067e+001dB,9.39046426743697e+001°)
1.08193208472763e+003	(-1.84566449820614e+001dB,9.39062534190505e+001°)
1.08218123748029e+003	(-1.84546066206317e+001dB,9.39078643498219e+001°)
1.08243044760910e+003	(-1.84525682404141e+001dB,9.39094754662228e+001°)
1.08267971512727e+003	(-1.84505298414101e+001dB,9.39110867684502e+001°)
1.08292904004801e+003	(-1.84484914235832e+001dB,9.39126982579942e+001°)
1.08317842238455e+003	(-1.84464529869607e+001dB,9.39143099324410e+001°)
1.08342786215011e+003	(-1.84444145315086e+001dB,9.39159217937181e+001°)
1.08367735935791e+003	(-1.84423760572250e+001dB,9.39175338418009e+001°)
1.08392691402117e+003	(-1.84403375641225e+001dB,9.39191460749254e+001°)
1.08417652615314e+003	(-1.84382990521645e+001dB,9.39207584961067e+001°)
1.08442619576704e+003	(-1.84362605213526e+001dB,9.39223711035754e+001°)
1.08467592287612e+003	(-1.84342219716882e+001dB,9.39239838970899e+001°)
1.08492570749361e+003	(-1.84321834031613e+001dB,9.39255968770579e+001°)
1.08517554963275e+003	(-1.84301448157489e+001dB,9.39272100451882e+001°)
1.08542544930680e+003	(-1.84281062094603e+001dB,9.39288233990620e+001°)
1.08567540652899e+003	(-1.84260675842787e+001dB,9.39304369401725e+001°)
