Freq.	V(N004)/V(N002)
1.07398941234124e+003	(-3.04253073371936e+001dB,1.60446687132284e+002°)
1.07646521362983e+003	(-3.03864148954283e+001dB,1.60402375224170e+002°)
1.07894672222983e+003	(-3.03475274504499e+001dB,1.60357966339052e+002°)
1.08143395129794e+003	(-3.03086450242699e+001dB,1.60313460288378e+002°)
1.08392691402120e+003	(-3.02697676389923e+001dB,1.60268856883393e+002°)
1.08642562361706e+003	(-3.02308953168133e+001dB,1.60224155935140e+002°)
1.08893009333343e+003	(-3.01920280800219e+001dB,1.60179357254462e+002°)
1.09144033644875e+003	(-3.01531659510002e+001dB,1.60134460652001e+002°)
1.09395636627209e+003	(-3.01143089522238e+001dB,1.60089465938202e+002°)
1.09647819614318e+003	(-3.00754571062622e+001dB,1.60044372923310e+002°)
1.09900583943252e+003	(-3.00366104357787e+001dB,1.59999181417374e+002°)
1.10153930954141e+003	(-2.99977689635315e+001dB,1.59953891230248e+002°)
1.10407861990207e+003	(-2.99589327123733e+001dB,1.59908502171593e+002°)
1.10662378397766e+003	(-2.99201017052522e+001dB,1.59863014050873e+002°)
1.10917481526240e+003	(-2.98812759652117e+001dB,1.59817426677363e+002°)
1.11173172728159e+003	(-2.98424555153913e+001dB,1.59771739860145e+002°)
1.11429453359173e+003	(-2.98036403790266e+001dB,1.59725953408112e+002°)
1.11686324778056e+003	(-2.97648305794499e+001dB,1.59680067129968e+002°)
1.11943788346715e+003	(-2.97260261400901e+001dB,1.59634080834229e+002°)
1.12201845430196e+003	(-2.96872270844739e+001dB,1.59587994329225e+002°)
1.12460497396692e+003	(-2.96484334362252e+001dB,1.59541807423100e+002°)
1.12719745617551e+003	(-2.96096452190661e+001dB,1.59495519923816e+002°)
1.12979591467279e+003	(-2.95708624568170e+001dB,1.59449131639149e+002°)
1.13240036323555e+003	(-2.95320851733969e+001dB,1.59402642376696e+002°)
1.13501081567231e+003	(-2.94933133928238e+001dB,1.59356051943873e+002°)
1.13762728582343e+003	(-2.94545471392155e+001dB,1.59309360147915e+002°)
1.14024978756117e+003	(-2.94157864367890e+001dB,1.59262566795883e+002°)
1.14287833478977e+003	(-2.93770313098618e+001dB,1.59215671694657e+002°)
1.14551294144553e+003	(-2.93382817828518e+001dB,1.59168674650946e+002°)
1.14815362149688e+003	(-2.92995378802776e+001dB,1.59121575471281e+002°)
1.15080038894443e+003	(-2.92607996267592e+001dB,1.59074373962024e+002°)
1.15345325782109e+003	(-2.92220670470179e+001dB,1.59027069929363e+002°)
1.15611224219210e+003	(-2.91833401658773e+001dB,1.58979663179318e+002°)
1.15877735615512e+003	(-2.91446190082628e+001dB,1.58932153517739e+002°)
1.16144861384034e+003	(-2.91059035992028e+001dB,1.58884540750310e+002°)
1.16412602941049e+003	(-2.90671939638286e+001dB,1.58836824682547e+002°)
1.16680961706096e+003	(-2.90284901273749e+001dB,1.58789005119804e+002°)
1.16949939101987e+003	(-2.89897921151800e+001dB,1.58741081867271e+002°)
1.17219536554813e+003	(-2.89510999526865e+001dB,1.58693054729977e+002°)
1.17489755493953e+003	(-2.89124136654413e+001dB,1.58644923512789e+002°)
1.17760597352080e+003	(-2.88737332790962e+001dB,1.58596688020418e+002°)
1.18032063565173e+003	(-2.88350588194083e+001dB,1.58548348057415e+002°)
1.18304155572516e+003	(-2.87963903122401e+001dB,1.58499903428178e+002°)
1.18576874816716e+003	(-2.87577277835601e+001dB,1.58451353936948e+002°)
1.18850222743701e+003	(-2.87190712594433e+001dB,1.58402699387816e+002°)
1.19124200802737e+003	(-2.86804207660711e+001dB,1.58353939584720e+002°)
1.19398810446427e+003	(-2.86417763297320e+001dB,1.58305074331449e+002°)
1.19674053130724e+003	(-2.86031379768221e+001dB,1.58256103431644e+002°)
1.19949930314937e+003	(-2.85645057338453e+001dB,1.58207026688799e+002°)
1.20226443461741e+003	(-2.85258796274133e+001dB,1.58157843906262e+002°)
1.20503594037179e+003	(-2.84872596842469e+001dB,1.58108554887241e+002°)
1.20781383510678e+003	(-2.84486459311753e+001dB,1.58059159434799e+002°)
1.21059813355048e+003	(-2.84100383951374e+001dB,1.58009657351861e+002°)
1.21338885046497e+003	(-2.83714371031816e+001dB,1.57960048441211e+002°)
1.21618600064636e+003	(-2.83328420824662e+001dB,1.57910332505499e+002°)
1.21898959892486e+003	(-2.82942533602603e+001dB,1.57860509347239e+002°)
1.22179966016487e+003	(-2.82556709639434e+001dB,1.57810578768810e+002°)
1.22461619926504e+003	(-2.82170949210066e+001dB,1.57760540572462e+002°)
1.22743923115840e+003	(-2.81785252590521e+001dB,1.57710394560313e+002°)
1.23026877081238e+003	(-2.81399620057944e+001dB,1.57660140534353e+002°)
1.23310483322890e+003	(-2.81014051890602e+001dB,1.57609778296445e+002°)
1.23594743344450e+003	(-2.80628548367888e+001dB,1.57559307648330e+002°)
1.23879658653036e+003	(-2.80243109770329e+001dB,1.57508728391622e+002°)
1.24165230759241e+003	(-2.79857736379582e+001dB,1.57458040327817e+002°)
1.24451461177138e+003	(-2.79472428478447e+001dB,1.57407243258290e+002°)
1.24738351424294e+003	(-2.79087186350864e+001dB,1.57356336984299e+002°)
1.25025903021771e+003	(-2.78702010281919e+001dB,1.57305321306986e+002°)
1.25314117494141e+003	(-2.78316900557849e+001dB,1.57254196027380e+002°)
1.25602996369487e+003	(-2.77931857466045e+001dB,1.57202960946397e+002°)
1.25892541179416e+003	(-2.77546881295054e+001dB,1.57151615864844e+002°)
1.26182753459066e+003	(-2.77161972334586e+001dB,1.57100160583419e+002°)
1.26473634747115e+003	(-2.76777130875516e+001dB,1.57048594902714e+002°)
1.26765186585784e+003	(-2.76392357209889e+001dB,1.56996918623217e+002°)
1.27057410520854e+003	(-2.76007651630923e+001dB,1.56945131545313e+002°)
1.27350308101666e+003	(-2.75623014433011e+001dB,1.56893233469289e+002°)
1.27643880881134e+003	(-2.75238445911731e+001dB,1.56841224195330e+002°)
1.27938130415752e+003	(-2.74853946363842e+001dB,1.56789103523528e+002°)
1.28233058265601e+003	(-2.74469516087293e+001dB,1.56736871253878e+002°)
1.28528665994361e+003	(-2.74085155381226e+001dB,1.56684527186285e+002°)
1.28824955169313e+003	(-2.73700864545980e+001dB,1.56632071120564e+002°)
1.29121927361353e+003	(-2.73316643883094e+001dB,1.56579502856439e+002°)
1.29419584144998e+003	(-2.72932493695310e+001dB,1.56526822193551e+002°)
1.29717927098395e+003	(-2.72548414286580e+001dB,1.56474028931456e+002°)
1.30016957803328e+003	(-2.72164405962067e+001dB,1.56421122869628e+002°)
1.30316677845229e+003	(-2.71780469028151e+001dB,1.56368103807462e+002°)
1.30617088813183e+003	(-2.71396603792433e+001dB,1.56314971544275e+002°)
1.30918192299940e+003	(-2.71012810563735e+001dB,1.56261725879310e+002°)
1.31219989901920e+003	(-2.70629089652108e+001dB,1.56208366611736e+002°)
1.31522483219223e+003	(-2.70245441368838e+001dB,1.56154893540650e+002°)
1.31825673855640e+003	(-2.69861866026442e+001dB,1.56101306465084e+002°)
1.32129563418657e+003	(-2.69478363938679e+001dB,1.56047605184001e+002°)
1.32434153519466e+003	(-2.69094935420553e+001dB,1.55993789496299e+002°)
1.32739445772973e+003	(-2.68711580788313e+001dB,1.55939859200818e+002°)
1.33045441797808e+003	(-2.68328300359461e+001dB,1.55885814096335e+002°)
1.33352143216332e+003	(-2.67945094452754e+001dB,1.55831653981573e+002°)
1.33659551654643e+003	(-2.67561963388209e+001dB,1.55777378655197e+002°)
1.33967668742593e+003	(-2.67178907487107e+001dB,1.55722987915823e+002°)
1.34276496113786e+003	(-2.66795927071996e+001dB,1.55668481562016e+002°)
1.34586035405594e+003	(-2.66413022466693e+001dB,1.55613859392291e+002°)
1.34896288259165e+003	(-2.66030193996295e+001dB,1.55559121205122e+002°)
1.35207256319427e+003	(-2.65647441987174e+001dB,1.55504266798937e+002°)
1.35518941235103e+003	(-2.65264766766989e+001dB,1.55449295972127e+002°)
1.35831344658715e+003	(-2.64882168664682e+001dB,1.55394208523042e+002°)
1.36144468246594e+003	(-2.64499648010491e+001dB,1.55339004250000e+002°)
1.36458313658892e+003	(-2.64117205135946e+001dB,1.55283682951283e+002°)
1.36772882559584e+003	(-2.63734840373878e+001dB,1.55228244425146e+002°)
1.37088176616484e+003	(-2.63352554058420e+001dB,1.55172688469816e+002°)
1.37404197501251e+003	(-2.62970346525013e+001dB,1.55117014883493e+002°)
1.37720946889394e+003	(-2.62588218110409e+001dB,1.55061223464357e+002°)
1.38038426460288e+003	(-2.62206169152675e+001dB,1.55005314010567e+002°)
1.38356637897177e+003	(-2.61824199991198e+001dB,1.54949286320266e+002°)
1.38675582887188e+003	(-2.61442310966688e+001dB,1.54893140191581e+002°)
1.38995263121334e+003	(-2.61060502421180e+001dB,1.54836875422630e+002°)
1.39315680294529e+003	(-2.60678774698044e+001dB,1.54780491811519e+002°)
1.39636836105593e+003	(-2.60297128141982e+001dB,1.54723989156350e+002°)
1.39958732257261e+003	(-2.59915563099037e+001dB,1.54667367255221e+002°)
1.40281370456195e+003	(-2.59534079916594e+001dB,1.54610625906229e+002°)
1.40604752412990e+003	(-2.59152678943386e+001dB,1.54553764907474e+002°)
1.40928879842186e+003	(-2.58771360529498e+001dB,1.54496784057058e+002°)
1.41253754462274e+003	(-2.58390125026367e+001dB,1.54439683153096e+002°)
1.41579377995707e+003	(-2.58008972786793e+001dB,1.54382461993708e+002°)
1.41905752168908e+003	(-2.57627904164937e+001dB,1.54325120377032e+002°)
1.42232878712281e+003	(-2.57246919516327e+001dB,1.54267658101220e+002°)
1.42560759360218e+003	(-2.56866019197863e+001dB,1.54210074964443e+002°)
1.42889395851109e+003	(-2.56485203567821e+001dB,1.54152370764896e+002°)
1.43218789927353e+003	(-2.56104472985853e+001dB,1.54094545300799e+002°)
1.43548943335364e+003	(-2.55723827812997e+001dB,1.54036598370398e+002°)
1.43879857825583e+003	(-2.55343268411678e+001dB,1.53978529771973e+002°)
1.44211535152486e+003	(-2.54962795145711e+001dB,1.53920339303838e+002°)
1.44543977074592e+003	(-2.54582408380307e+001dB,1.53862026764341e+002°)
1.44877185354475e+003	(-2.54202108482074e+001dB,1.53803591951876e+002°)
1.45211161758773e+003	(-2.53821895819026e+001dB,1.53745034664876e+002°)
1.45545908058195e+003	(-2.53441770760582e+001dB,1.53686354701821e+002°)
1.45881426027534e+003	(-2.53061733677574e+001dB,1.53627551861244e+002°)
1.46217717445671e+003	(-2.52681784942247e+001dB,1.53568625941728e+002°)
1.46554784095590e+003	(-2.52301924928265e+001dB,1.53509576741913e+002°)
1.46892627764385e+003	(-2.51922154010718e+001dB,1.53450404060499e+002°)
1.47231250243271e+003	(-2.51542472566118e+001dB,1.53391107696246e+002°)
1.47570653327588e+003	(-2.51162880972413e+001dB,1.53331687447985e+002°)
1.47910838816819e+003	(-2.50783379608982e+001dB,1.53272143114610e+002°)
1.48251808514594e+003	(-2.50403968856645e+001dB,1.53212474495092e+002°)
1.48593564228699e+003	(-2.50024649097664e+001dB,1.53152681388477e+002°)
1.48936107771090e+003	(-2.49645420715748e+001dB,1.53092763593888e+002°)
1.49279440957898e+003	(-2.49266284096057e+001dB,1.53032720910532e+002°)
1.49623565609442e+003	(-2.48887239625204e+001dB,1.52972553137702e+002°)
1.49968483550236e+003	(-2.48508287691263e+001dB,1.52912260074781e+002°)
1.50314196609001e+003	(-2.48129428683769e+001dB,1.52851841521243e+002°)
1.50660706618673e+003	(-2.47750662993724e+001dB,1.52791297276660e+002°)
1.51008015416413e+003	(-2.47371991013599e+001dB,1.52730627140703e+002°)
1.51356124843619e+003	(-2.46993413137342e+001dB,1.52669830913146e+002°)
1.51705036745932e+003	(-2.46614929760377e+001dB,1.52608908393869e+002°)
1.52054752973248e+003	(-2.46236541279612e+001dB,1.52547859382866e+002°)
1.52405275379728e+003	(-2.45858248093437e+001dB,1.52486683680241e+002°)
1.52756605823806e+003	(-2.45480050601738e+001dB,1.52425381086217e+002°)
1.53108746168201e+003	(-2.45101949205890e+001dB,1.52363951401139e+002°)
1.53461698279928e+003	(-2.44723944308768e+001dB,1.52302394425476e+002°)
1.53815464030302e+003	(-2.44346036314748e+001dB,1.52240709959827e+002°)
1.54170045294954e+003	(-2.43968225629710e+001dB,1.52178897804921e+002°)
1.54525443953840e+003	(-2.43590512661047e+001dB,1.52116957761625e+002°)
1.54881661891247e+003	(-2.43212897817663e+001dB,1.52054889630946e+002°)
1.55238700995807e+003	(-2.42835381509977e+001dB,1.51992693214034e+002°)
1.55596563160506e+003	(-2.42457964149933e+001dB,1.51930368312185e+002°)
1.55955250282694e+003	(-2.42080646150997e+001dB,1.51867914726850e+002°)
1.56314764264094e+003	(-2.41703427928164e+001dB,1.51805332259631e+002°)
1.56675107010813e+003	(-2.41326309897963e+001dB,1.51742620712292e+002°)
1.57036280433354e+003	(-2.40949292478457e+001dB,1.51679779886759e+002°)
1.57398286446620e+003	(-2.40572376089251e+001dB,1.51616809585125e+002°)
1.57761126969933e+003	(-2.40195561151492e+001dB,1.51553709609655e+002°)
1.58124803927037e+003	(-2.39818848087875e+001dB,1.51490479762787e+002°)
1.58489319246110e+003	(-2.39442237322648e+001dB,1.51427119847140e+002°)
1.58854674859776e+003	(-2.39065729281612e+001dB,1.51363629665513e+002°)
1.59220872705115e+003	(-2.38689324392129e+001dB,1.51300009020897e+002°)
1.59587914723672e+003	(-2.38313023083123e+001dB,1.51236257716469e+002°)
1.59955802861465e+003	(-2.37936825785082e+001dB,1.51172375555605e+002°)
1.60324539069002e+003	(-2.37560732930067e+001dB,1.51108362341878e+002°)
1.60694125301286e+003	(-2.37184744951713e+001dB,1.51044217879068e+002°)
1.61064563517825e+003	(-2.36808862285231e+001dB,1.50979941971159e+002°)
1.61435855682647e+003	(-2.36433085367413e+001dB,1.50915534422350e+002°)
1.61808003764305e+003	(-2.36057414636638e+001dB,1.50850995037055e+002°)
1.62181009735891e+003	(-2.35681850532872e+001dB,1.50786323619909e+002°)
1.62554875575047e+003	(-2.35306393497673e+001dB,1.50721519975773e+002°)
1.62929603263970e+003	(-2.34931043974196e+001dB,1.50656583909737e+002°)
1.63305194789432e+003	(-2.34555802407195e+001dB,1.50591515227122e+002°)
1.63681652142779e+003	(-2.34180669243028e+001dB,1.50526313733492e+002°)
1.64058977319952e+003	(-2.33805644929659e+001dB,1.50460979234650e+002°)
1.64437172321491e+003	(-2.33430729916661e+001dB,1.50395511536648e+002°)
1.64816239152549e+003	(-2.33055924655224e+001dB,1.50329910445788e+002°)
1.65196179822900e+003	(-2.32681229598154e+001dB,1.50264175768629e+002°)
1.65576996346951e+003	(-2.32306645199877e+001dB,1.50198307311991e+002°)
1.65958690743754e+003	(-2.31932171916446e+001dB,1.50132304882958e+002°)
1.66341265037015e+003	(-2.31557810205539e+001dB,1.50066168288885e+002°)
1.66724721255104e+003	(-2.31183560526469e+001dB,1.49999897337401e+002°)
1.67109061431069e+003	(-2.30809423340183e+001dB,1.49933491836413e+002°)
1.67494287602642e+003	(-2.30435399109266e+001dB,1.49866951594114e+002°)
1.67880401812254e+003	(-2.30061488297944e+001dB,1.49800276418983e+002°)
1.68267406107045e+003	(-2.29687691372092e+001dB,1.49733466119794e+002°)
1.68655302538872e+003	(-2.29314008799231e+001dB,1.49666520505618e+002°)
1.69044093164324e+003	(-2.28940441048535e+001dB,1.49599439385829e+002°)
1.69433780044731e+003	(-2.28566988590835e+001dB,1.49532222570110e+002°)
1.69824365246172e+003	(-2.28193651898621e+001dB,1.49464869868453e+002°)
1.70215850839493e+003	(-2.27820431446043e+001dB,1.49397381091172e+002°)
1.70608238900310e+003	(-2.27447327708920e+001dB,1.49329756048899e+002°)
1.71001531509027e+003	(-2.27074341164738e+001dB,1.49261994552596e+002°)
1.71395730750840e+003	(-2.26701472292658e+001dB,1.49194096413556e+002°)
1.71790838715757e+003	(-2.26328721573515e+001dB,1.49126061443409e+002°)
1.72186857498598e+003	(-2.25956089489822e+001dB,1.49057889454127e+002°)
1.72583789199018e+003	(-2.25583576525777e+001dB,1.48989580258032e+002°)
1.72981635921508e+003	(-2.25211183167262e+001dB,1.48921133667794e+002°)
1.73380399775412e+003	(-2.24838909901848e+001dB,1.48852549496444e+002°)
1.73780082874935e+003	(-2.24466757218798e+001dB,1.48783827557374e+002°)
1.74180687339159e+003	(-2.24094725609070e+001dB,1.48714967664344e+002°)
1.74582215292048e+003	(-2.23722815565321e+001dB,1.48645969631487e+002°)
1.74984668862463e+003	(-2.23351027581907e+001dB,1.48576833273315e+002°)
1.75388050184174e+003	(-2.22979362154893e+001dB,1.48507558404723e+002°)
1.75792361395867e+003	(-2.22607819782047e+001dB,1.48438144840994e+002°)
1.76197604641161e+003	(-2.22236400962849e+001dB,1.48368592397806e+002°)
1.76603782068614e+003	(-2.21865106198495e+001dB,1.48298900891237e+002°)
1.77010895831740e+003	(-2.21493935991895e+001dB,1.48229070137770e+002°)
1.77418948089014e+003	(-2.21122890847680e+001dB,1.48159099954296e+002°)
1.77827941003890e+003	(-2.20751971272202e+001dB,1.48088990158124e+002°)
1.78237876744807e+003	(-2.20381177773542e+001dB,1.48018740566984e+002°)
1.78648757485203e+003	(-2.20010510861505e+001dB,1.47948350999032e+002°)
1.79060585403527e+003	(-2.19639971047631e+001dB,1.47877821272857e+002°)
1.79473362683250e+003	(-2.19269558845193e+001dB,1.47807151207486e+002°)
1.79887091512876e+003	(-2.18899274769201e+001dB,1.47736340622388e+002°)
1.80301774085954e+003	(-2.18529119336405e+001dB,1.47665389337483e+002°)
1.80717412601090e+003	(-2.18159093065298e+001dB,1.47594297173144e+002°)
1.81134009261958e+003	(-2.17789196476118e+001dB,1.47523063950207e+002°)
1.81551566277311e+003	(-2.17419430090852e+001dB,1.47451689489970e+002°)
1.81970085860996e+003	(-2.17049794433236e+001dB,1.47380173614208e+002°)
1.82389570231961e+003	(-2.16680290028762e+001dB,1.47308516145170e+002°)
1.82810021614272e+003	(-2.16310917404677e+001dB,1.47236716905590e+002°)
1.83231442237119e+003	(-2.15941677089988e+001dB,1.47164775718691e+002°)
1.83653834334832e+003	(-2.15572569615461e+001dB,1.47092692408191e+002°)
1.84077200146893e+003	(-2.15203595513629e+001dB,1.47020466798310e+002°)
1.84501541917945e+003	(-2.14834755318789e+001dB,1.46948098713774e+002°)
1.84926861897805e+003	(-2.14466049567009e+001dB,1.46875587979823e+002°)
1.85353162341478e+003	(-2.14097478796128e+001dB,1.46802934422217e+002°)
1.85780445509167e+003	(-2.13729043545758e+001dB,1.46730137867238e+002°)
1.86208713666284e+003	(-2.13360744357289e+001dB,1.46657198141702e+002°)
1.86637969083464e+003	(-2.12992581773888e+001dB,1.46584115072962e+002°)
1.87068214036577e+003	(-2.12624556340505e+001dB,1.46510888488913e+002°)
1.87499450806739e+003	(-2.12256668603872e+001dB,1.46437518218000e+002°)
1.87931681680324e+003	(-2.11888919112507e+001dB,1.46364004089225e+002°)
1.88364908948977e+003	(-2.11521308416717e+001dB,1.46290345932151e+002°)
1.88799134909627e+003	(-2.11153837068597e+001dB,1.46216543576909e+002°)
1.89234361864495e+003	(-2.10786505622037e+001dB,1.46142596854204e+002°)
1.89670592121112e+003	(-2.10419314632719e+001dB,1.46068505595325e+002°)
1.90107827992327e+003	(-2.10052264658125e+001dB,1.45994269632144e+002°)
1.90546071796322e+003	(-2.09685356257531e+001dB,1.45919888797128e+002°)
1.90985325856621e+003	(-2.09318589992017e+001dB,1.45845362923346e+002°)
1.91425592502106e+003	(-2.08951966424466e+001dB,1.45770691844471e+002°)
1.91866874067026e+003	(-2.08585486119563e+001dB,1.45695875394790e+002°)
1.92309172891013e+003	(-2.08219149643802e+001dB,1.45620913409209e+002°)
1.92752491319091e+003	(-2.07852957565485e+001dB,1.45545805723260e+002°)
1.93196831701689e+003	(-2.07486910454724e+001dB,1.45470552173108e+002°)
1.93642196394658e+003	(-2.07121008883443e+001dB,1.45395152595555e+002°)
1.94088587759275e+003	(-2.06755253425381e+001dB,1.45319606828052e+002°)
1.94536008162263e+003	(-2.06389644656090e+001dB,1.45243914708700e+002°)
1.94984459975802e+003	(-2.06024183152943e+001dB,1.45168076076261e+002°)
1.95433945577536e+003	(-2.05658869495129e+001dB,1.45092090770160e+002°)
1.95884467350596e+003	(-2.05293704263659e+001dB,1.45015958630497e+002°)
1.96336027683602e+003	(-2.04928688041367e+001dB,1.44939679498051e+002°)
1.96788628970681e+003	(-2.04563821412909e+001dB,1.44863253214286e+002°)
1.97242273611482e+003	(-2.04199104964767e+001dB,1.44786679621360e+002°)
1.97696964011183e+003	(-2.03834539285250e+001dB,1.44709958562132e+002°)
1.98152702580507e+003	(-2.03470124964494e+001dB,1.44633089880165e+002°)
1.98609491735734e+003	(-2.03105862594465e+001dB,1.44556073419739e+002°)
1.99067333898715e+003	(-2.02741752768961e+001dB,1.44478909025851e+002°)
1.99526231496885e+003	(-2.02377796083610e+001dB,1.44401596544230e+002°)
1.99986186963271e+003	(-2.02013993135873e+001dB,1.44324135821337e+002°)
2.00447202736513e+003	(-2.01650344525048e+001dB,1.44246526704375e+002°)
2.00909281260870e+003	(-2.01286850852266e+001dB,1.44168769041298e+002°)
2.01372424986236e+003	(-2.00923512720495e+001dB,1.44090862680814e+002°)
2.01836636368153e+003	(-2.00560330734542e+001dB,1.44012807472395e+002°)
2.02301917867824e+003	(-2.00197305501051e+001dB,1.43934603266284e+002°)
2.02768271952125e+003	(-1.99834437628507e+001dB,1.43856249913502e+002°)
2.03235701093619e+003	(-1.99471727727234e+001dB,1.43777747265853e+002°)
2.03704207770568e+003	(-1.99109176409398e+001dB,1.43699095175935e+002°)
2.04173794466950e+003	(-1.98746784289008e+001dB,1.43620293497146e+002°)
2.04644463672464e+003	(-1.98384551981913e+001dB,1.43541342083690e+002°)
2.05116217882553e+003	(-1.98022480105810e+001dB,1.43462240790586e+002°)
2.05589059598411e+003	(-1.97660569280235e+001dB,1.43382989473673e+002°)
2.06062991326997e+003	(-1.97298820126572e+001dB,1.43303587989622e+002°)
2.06538015581049e+003	(-1.96937233268051e+001dB,1.43224036195939e+002°)
2.07014134879101e+003	(-1.96575809329745e+001dB,1.43144333950974e+002°)
2.07491351745487e+003	(-1.96214548938574e+001dB,1.43064481113930e+002°)
2.07969668710366e+003	(-1.95853452723306e+001dB,1.42984477544869e+002°)
2.08449088309725e+003	(-1.95492521314556e+001dB,1.42904323104718e+002°)
2.08929613085400e+003	(-1.95131755344783e+001dB,1.42824017655282e+002°)
2.09411245585086e+003	(-1.94771155448296e+001dB,1.42743561059245e+002°)
2.09893988362349e+003	(-1.94410722261251e+001dB,1.42662953180183e+002°)
2.10377843976644e+003	(-1.94050456421653e+001dB,1.42582193882569e+002°)
2.10862814993325e+003	(-1.93690358569352e+001dB,1.42501283031781e+002°)
2.11348903983661e+003	(-1.93330429346047e+001dB,1.42420220494111e+002°)
2.11836113524846e+003	(-1.92970669395285e+001dB,1.42339006136772e+002°)
2.12324446200018e+003	(-1.92611079362459e+001dB,1.42257639827904e+002°)
2.12813904598267e+003	(-1.92251659894811e+001dB,1.42176121436586e+002°)
2.13304491314654e+003	(-1.91892411641429e+001dB,1.42094450832841e+002°)
2.13796208950219e+003	(-1.91533335253247e+001dB,1.42012627887645e+002°)
2.14289060112002e+003	(-1.91174431383048e+001dB,1.41930652472932e+002°)
2.14783047413050e+003	(-1.90815700685458e+001dB,1.41848524461609e+002°)
2.15278173472433e+003	(-1.90457143816949e+001dB,1.41766243727555e+002°)
2.15774440915263e+003	(-1.90098761435838e+001dB,1.41683810145636e+002°)
2.16271852372698e+003	(-1.89740554202288e+001dB,1.41601223591711e+002°)
2.16770410481966e+003	(-1.89382522778303e+001dB,1.41518483942639e+002°)
2.17270117886370e+003	(-1.89024667827731e+001dB,1.41435591076287e+002°)
2.17770977235312e+003	(-1.88666990016262e+001dB,1.41352544871542e+002°)
2.18272991184296e+003	(-1.88309490011425e+001dB,1.41269345208314e+002°)
2.18776162394951e+003	(-1.87952168482593e+001dB,1.41185991967546e+002°)
2.19280493535041e+003	(-1.87595026100976e+001dB,1.41102485031225e+002°)
2.19785987278478e+003	(-1.87238063539620e+001dB,1.41018824282386e+002°)
2.20292646305342e+003	(-1.86881281473412e+001dB,1.40935009605124e+002°)
2.20800473301886e+003	(-1.86524680579072e+001dB,1.40851040884600e+002°)
2.21309470960560e+003	(-1.86168261535154e+001dB,1.40766918007051e+002°)
2.21819641980018e+003	(-1.85812025022048e+001dB,1.40682640859795e+002°)
2.22330989065136e+003	(-1.85455971721973e+001dB,1.40598209331245e+002°)
2.22843514927026e+003	(-1.85100102318977e+001dB,1.40513623310912e+002°)
2.23357222283049e+003	(-1.84744417498941e+001dB,1.40428882689418e+002°)
2.23872113856830e+003	(-1.84388917949570e+001dB,1.40343987358500e+002°)
2.24388192378272e+003	(-1.84033604360393e+001dB,1.40258937211023e+002°)
2.24905460583574e+003	(-1.83678477422765e+001dB,1.40173732140985e+002°)
2.25423921215239e+003	(-1.83323537829861e+001dB,1.40088372043527e+002°)
2.25943577022093e+003	(-1.82968786276677e+001dB,1.40002856814944e+002°)
2.26464430759302e+003	(-1.82614223460026e+001dB,1.39917186352689e+002°)
2.26986485188378e+003	(-1.82259850078536e+001dB,1.39831360555383e+002°)
2.27509743077203e+003	(-1.81905666832648e+001dB,1.39745379322827e+002°)
